City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
KADINGILAN,  7.454 ,  4.665 ,  2.190 ,  1 ,  2 ,  332 ,  240 ,  17 ,  7 ,  -   
KALILANGAN,  8.869 ,  7.159 ,  1.509 ,  2 ,  1 ,  30 ,  144 ,  9 ,  15 ,  -   
KIBAWE,  8.872 ,  5.717 ,  2.437 ,  100 ,  -   ,  77 ,  503 ,  25 ,  13 ,  -   
KITAOTAO,  10.897 ,  5.972 ,  4.000 ,  2 ,  4 ,  134 ,  670 ,  104 ,  11 ,  -   
LANTAPAN,  12.967 ,  8.490 ,  4.114 ,  3 ,  1 ,  60 ,  280 ,  11 ,  8 ,  -   
LIBONA,  9.957 ,  6.710 ,  3.048 ,  1 ,  1 ,  22 ,  121 ,  52 ,  2 ,  -   
CITY OF MALAYBALAY (Capital),  38.971 ,  30.431 ,  7.288 ,  161 ,  5 ,  167 ,  670 ,  158 ,  91 ,  -   
MALITBOG,  4.999 ,  2.501 ,  2.186 ,  1 ,  -   ,  7 ,  243 ,  44 ,  17 ,  -   
MANOLO FORTICH,  21.248 ,  16.057 ,  4.785 ,  7 ,  2 ,  32 ,  269 ,  75 ,  21 ,  -   
MARAMAG,  23.004 ,  18.826 ,  3.758 ,  10 ,  1 ,  100 ,  185 ,  112 ,  12 ,  -   
PANGANTUCAN,  11.396 ,  8.488 ,  2.665 ,  1 ,  -   ,  28 ,  196 ,  17 ,  1 ,  -   
QUEZON,  22.996 ,  16.898 ,  5.194 ,  59 ,  1 ,  148 ,  611 ,  61 ,  24 ,  -   
SAN FERNANDO,  12.394 ,  6.147 ,  5.138 ,  15 ,  3 ,  268 ,  585 ,  112 ,  126 ,  -   
SUMILAO,  5.638 ,  3.756 ,  1.736 ,  7 ,  1 ,  10 ,  118 ,  9 ,  1 ,  -   
TALAKAG,  14.174 ,  7.529 ,  6.313 ,  5 ,  1 ,  9 ,  171 ,  19 ,  127 ,  -   
CITY OF VALENCIA,  44.137 ,  35.933 ,  6.988 ,  90 ,  4 ,  276 ,  669 ,  125 ,  52 ,  -   
CABANGLASAN,  6.948 ,  4.487 ,  1.719 ,  36 ,  -   ,  64 ,  492 ,  78 ,  72 ,  -   
CAMIGUIN,  20.080 ,  18.874 ,  1.182 ,  -   ,  -   ,  -   ,  24 ,  -   ,  -   ,  -   
CATARMAN,  4.060 ,  3.897 ,  161 ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   
GUINSILIBAN,  1.459 ,  1.318 ,  140 ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
MAHINOG,  3.135 ,  2.995 ,  137 ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   ,  -   
MAMBAJAO (Capital),  8.547 ,  8.164 ,  374 ,  -   ,  -   ,  -   ,  9 ,  -   ,  -   ,  -   
SAGAY,  2.879 ,  2.500 ,  370 ,  -   ,  -   ,  -   ,  9 ,  -   ,  -   ,  -   
LANAO DEL NORTE (excluding Iligan City),  140.350 ,  110.964 ,  20.337 ,  4 ,  36 ,  3.545 ,  5.219 ,  182 ,  63 ,  -   
BACOLOD,  5.199 ,  4.643 ,  496 ,  -   ,  -   ,  1 ,  31 ,  5 ,  23 ,  -   
BALOI,  10.084 ,  9.543 ,  450 ,  -   ,  -   ,  45 ,  43 ,  -   ,  3 ,  -   
BAROY,  5.601 ,  5.093 ,  475 ,  -   ,  -   ,  7 ,  15 ,  11 ,  -   ,  -   
KAPATAGAN,  14.998 ,  12.511 ,  2.339 ,  -   ,  3 ,  13 ,  76 ,  38 ,  18 ,  -   
SULTAN NAGA DIMAPORO (KAROMATAN),  11.616 ,  9.399 ,  1.529 ,  -   ,  10 ,  44 ,  596 ,  32 ,  6 ,  -   
KAUSWAGAN,  5.916 ,  5.186 ,  686 ,  -   ,  2 ,  12 ,  28 ,  2 ,  -   ,  -   
KOLAMBUGAN,  6.446 ,  5.422 ,  887 ,  -   ,  10 ,  15 ,  92 ,  20 ,  -   ,  -   
LALA,  15.443 ,  13.670 ,  1.676 ,  -   ,  2 ,  1 ,  62 ,  32 ,  -   ,  -   
LINAMON,  4.473 ,  4.061 ,  402 ,  -   ,  -   ,  -   ,  6 ,  3 ,  1 ,  -   
MAGSAYSAY,  3.839 ,  2.114 ,  1.143 ,  -   ,  2 ,  358 ,  220 ,  -   ,  2 ,  -   
MAIGO,  5.008 ,  4.011 ,  923 ,  -   ,  5 ,  2 ,  54 ,  13 ,  -   ,  -   
MATUNGAO,  2.206 ,  2.065 ,  101 ,  -   ,  -   ,  -   ,  38 ,  -   ,  2 ,  -   
MUNAI,  6.020 ,  2.407 ,  1.908 ,  4 ,  -   ,  1.057 ,  643 ,  1 ,  -   ,  -   
NUNUNGAN,  3.508 ,  -   ,  2.056 ,  -   ,  -   ,  926 ,  525 ,  -   ,  1 ,  -   
PANTAO RAGAT,  4.143 ,  3.220 ,  535 ,  -   ,  -   ,  24 ,  364 ,  -   ,  -   ,  -   
POONA PIAGAPO,  4.414 ,  3.012 ,  829 ,  -   ,  -   ,  131 ,  441 ,  1 ,  -   ,  -   
SALVADOR,  7.028 ,  6.231 ,  746 ,  -   ,  2 ,  6 ,  36 ,  3 ,  4 ,  -   
SAPAD,  4.716 ,  3.764 ,  591 ,  -   ,  -   ,  12 ,  349 ,  -   ,  -   ,  -   
TAGOLOAN,  2.768 ,  373 ,  547 ,  -   ,  -   ,  475 ,  1.371 ,  2 ,  -   ,  -   
TANGCAL,  2.405 ,  1.320 ,  509 ,  -   ,  -   ,  401 ,  175 ,  -   ,  -   ,  -   
TUBOD (Capital),  11.092 ,  9.505 ,  1.497 ,  -   ,  -   ,  15 ,  53 ,  19 ,  3 ,  -   
PANTAR,  3.427 ,  3.414 ,  12 ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
ILIGAN CITY,  76.593 ,  67.791 ,  7.068 ,  33 ,  12 ,  245 ,  1.188 ,  178 ,  78 ,  -   
MISAMIS OCCIDENTAL,  134.870 ,  112.876 ,  20.496 ,  193 ,  23 ,  82 ,  426 ,  441 ,  333 ,  -   
ALORAN,  6.383 ,  5.334 ,  946 ,  -   ,  -   ,  3 ,  61 ,  39 ,  -   ,  -   
BALIANGAO,  3.877 ,  3.021 ,  839 ,  1 ,  2 ,  -   ,  1 ,  9 ,  4 ,  -   
BONIFACIO,  7.308 ,  5.855 ,  1.393 ,  -   ,  -   ,  12 ,  32 ,  13 ,  3 ,  -   
CALAMBA,  5.052 ,  4.307 ,  705 ,  1 ,  -   ,  1 ,  4 ,  14 ,  20 ,  -   
CLARIN,  8.374 ,  7.125 ,  1.094 ,  60 ,  -   ,  2 ,  14 ,  71 ,  8 ,  -   
CONCEPCION,  2.460 ,  796 ,  1.661 ,  -   ,  -   ,  -   ,  -   ,  2 ,  1 ,  -   
JIMENEZ,  6.362 ,  5.732 ,  512 ,  10 ,  -   ,  2 ,  16 ,  14 ,  76 ,  -   
LOPEZ JAENA,  5.830 ,  4.401 ,  1.339 ,  9 ,  3 ,  4 ,  57 ,  11 ,  6 ,  -   
OROQUIETA CITY (Capital),  16.498 ,  14.587 ,  1.806 ,  16 ,  8 ,  10 ,  23 ,  37 ,  11 ,  -   
OZAMIS CITY,  30.304 ,  27.639 ,  2.294 ,  32 ,  2 ,  19 ,  54 ,  134 ,  130 ,  -   
PANAON,  2.420 ,  2.040 ,  357 ,  2 ,  2 ,  -   ,  9 ,  8 ,  2 ,  -   
PLARIDEL,  9.195 ,  7.658 ,  1.390 ,  4 ,  2 ,  1 ,  75 ,  17 ,  48 ,  -   
SAPANG DALAGA,  4.557 ,  3.296 ,  1.213 ,  40 ,  -   ,  1 ,  4 ,  3 ,  -   ,  -   
SINACABAN,  4.146 ,  3.504 ,  602 ,  13 ,  1 ,  -   ,  17 ,  2 ,  7 ,  -   
TANGUB CITY,  13.040 ,  10.922 ,  2.014 ,  5 ,  1 ,  18 ,  35 ,  38 ,  7 ,  -   
TUDELA,  6.573 ,  5.505 ,  1.012 ,  -   ,  2 ,  7 ,  12 ,  28 ,  7 ,  -   
DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),  2.491 ,  1.154 ,  1.319 ,  -   ,  -   ,  2 ,  12 ,  1 ,  3 ,  -   
MISAMIS ORIENTAL (excluding Cagayan de Oro City),  199.020 ,  172.646 ,  24.587 ,  194 ,  28 ,  180 ,  764 ,  436 ,  185 ,  -   
ALUBIJID,  7.743 ,  6.837 ,  840 ,  5 ,  -   ,  7 ,  39 ,  10 ,  5 ,  -   
BALINGASAG,  14.790 ,  12.517 ,  2.131 ,  3 ,  -   ,  63 ,  53 ,  18 ,  5 ,  -   
BALINGOAN,  2.320 ,  1.973 ,  341 ,  -   ,  -   ,  -   ,  4 ,  2 ,  -   ,  -   
BINUANGAN,  1.556 ,  1.385 ,  159 ,  -   ,  -   ,  -   ,  5 ,  4 ,  3 ,  -   
CLAVERIA,  11.085 ,  8.648 ,  2.215 ,  5 ,  2 ,  13 ,  68 ,  114 ,  20 ,  -   
CITY OF EL SALVADOR,  11.940 ,  10.706 ,  1.083 ,  53 ,  1 ,  6 ,  67 ,  24 ,  -   ,  -   
GINGOOG CITY,  26.534 ,  22.002 ,  4.382 ,  2 ,  8 ,  24 ,  76 ,  24 ,  16 ,  -   
GITAGUM,  3.895 ,  3.481 ,  382 ,  -   ,  -   ,  1 ,  25 ,  5 ,  1 ,  -   
INITAO,  7.555 ,  6.747 ,  769 ,  2 ,  1 ,  9 ,  14 ,  13 ,  -   ,  -   
JASAAN,  12.184 ,  10.783 ,  1.347 ,  1 ,  3 ,  6 ,  19 ,  15 ,  10 ,  -   
KINOGUITAN,  3.046 ,  2.391 ,  642 ,  -   ,  -   ,  -   ,  4 ,  -   ,  9 ,  -   
LAGONGLONG,  4.584 ,  3.945 ,  535 ,  1 ,  4 ,  3 ,  56 ,  40 ,  -   ,  -   
LAGUINDINGAN,  5.614 ,  5.052 ,  491 ,  2 ,  -   ,  3 ,  17 ,  43 ,  6 ,  -   
LIBERTAD,  2.718 ,  2.440 ,  203 ,  -   ,  1 ,  1 ,  57 ,  11 ,  5 ,  -   
LUGAIT,  4.650 ,  4.072 ,  519 ,  -   ,  1 ,  3 ,  19 ,  25 ,  11 ,  -   
MAGSAYSAY (LINUGOS),  6.985 ,  5.389 ,  1.471 ,  78 ,  2 ,  5 ,  37 ,  2 ,  1 ,  -   
MANTICAO,  6.460 ,  5.568 ,  852 ,  1 ,  1 ,  6 ,  19 ,  13 ,  -   ,  -   
MEDINA,  7.145 ,  6.362 ,  734 ,  2 ,  -   ,  1 ,  8 ,  1 ,  37 ,  -   
NAAWAN,  4.726 ,  4.105 ,  591 ,  6 ,  -   ,  1 ,  11 ,  4 ,  8 ,  -   
OPOL,  14.097 ,  12.788 ,  1.210 ,  3 ,  2 ,  9 ,  43 ,  38 ,  4 ,  -   
SALAY,  6.350 ,  5.303 ,  1.002 ,  14 ,  -   ,  -   ,  6 ,  3 ,  22 ,  -   
SUGBONGCOGON,  1.914 ,  1.658 ,  251 ,  -   ,  1 ,  1 ,  3 ,  -   ,  -   ,  -   
TAGOLOAN,  16.999 ,  15.928 ,  972 ,  6 ,  1 ,  10 ,  50 ,  18 ,  14 ,  -   
TALISAYAN,  5.391 ,  4.646 ,  741 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
VILLANUEVA,  8.739 ,  7.920 ,  724 ,  6 ,  -   ,  8 ,  64 ,  9 ,  8 ,  -   
CAGAYAN DE ORO CITY (Capital),  163.174 ,  153.764 ,  8.081 ,  211 ,  27 ,  168 ,  444 ,  293 ,  186 ,  -   
,,,,,,,,,,
REGION XI - DAVAO,  1.177.409 ,  965.251 ,  159.719 ,  5.466 ,  825 ,  13.400 ,  26.667 ,  5.594 ,  487 ,  -   
DAVAO DEL NORTE,  233.232 ,  198.129 ,  25.509 ,  475 ,  47 ,  2.794 ,  5.099 ,  1.126 ,  53 ,  -   
ASUNCION (SAUG),  13.801 ,  10.203 ,  2.735 ,  78 ,  -   ,  122 ,  618 ,  45 ,  -   ,  -   
CARMEN,  16.743 ,  15.120 ,  1.239 ,  8 ,  1 ,  101 ,  207 ,  52 ,  15 ,  -   
KAPALONG,  17.265 ,  12.185 ,  3.483 ,  46 ,  3 ,  694 ,  818 ,  36 ,  -   ,  -   
NEW CORELLA,  12.403 ,  8.940 ,  2.721 ,  3 ,  1 ,  129 ,  542 ,  67 ,  -   ,  -   
CITY OF PANABO,  42.489 ,  40.053 ,  1.933 ,  19 ,  5 ,  148 ,  261 ,  70 ,  -   ,  -   
ISLAND GARDEN CITY OF SAMAL,  26.245 ,  21.692 ,  3.888 ,  11 ,  3 ,  110 ,  490 ,  51 ,  -   ,  -   
SANTO TOMAS,  26.291 ,  23.854 ,  1.933 ,  124 ,  6 ,  92 ,  259 ,  23 ,  -   ,  -   
CITY OF TAGUM (Capital),  59.989 ,  55.786 ,  3.097 ,  168 ,  25 ,  176 ,  627 ,  110 ,  -   ,  -   
TALAINGOD,  6.142 ,  1.530 ,  2.278 ,  4 ,  2 ,  979 ,  812 ,  499 ,  38 ,  -   
BRAULIO E. DUJALI,  5.404 ,  4.361 ,  521 ,  10 ,  1 ,  104 ,  250 ,  157 ,  -   ,  -   
SAN ISIDRO,  6.460 ,  4.405 ,  1.681 ,  4 ,  -   ,  139 ,  215 ,  16 ,  -   ,  -   
DAVAO DEL SUR (excluding Davao City),  158.796 ,  133.904 ,  21.021 ,  1.098 ,  50 ,  820 ,  1.782 ,  117 ,  4 ,  -   
BANSALAN,  14.913 ,  12.834 ,  1.756 ,  70 ,  2 ,  35 ,  206 ,  10 ,  -   ,  -   
CITY OF DIGOS (Capital),  41.550 ,  38.441 ,  2.673 ,  70 ,  4 ,  75 ,  248 ,  39 ,  -   ,  -   
HAGONOY,  13.198 ,  11.753 ,  1.291 ,  36 ,  1 ,  18 ,  81 ,  18 ,  -   ,  -   
KIBLAWAN,  13.474 ,  8.570 ,  3.712 ,  682 ,  -   ,  19 ,  491 ,  -   ,  -   ,  -   
MAGSAYSAY,  13.571 ,  11.115 ,  2.162 ,  95 ,  2 ,  116 ,  78 ,  3 ,  -   ,  -   
MALALAG,  10.367 ,  8.002 ,  2.207 ,  8 ,  1 ,  68 ,  71 ,  6 ,  4 ,  -   
MATANAO,  13.861 ,  12.156 ,  1.556 ,  22 ,  2 ,  34 ,  84 ,  7 ,  -   ,  -   
PADADA,  6.915 ,  6.296 ,  576 ,  6 ,  1 ,  3 ,  24 ,  9 ,  -   ,  -   
SANTA CRUZ,  22.341 ,  18.487 ,  2.977 ,  100 ,  37 ,  317 ,  411 ,  12 ,  -   ,  -   
SULOP,  8.606 ,  6.250 ,  2.111 ,  9 ,  -   ,  135 ,  88 ,  13 ,  -   ,  -   
DAVAO CITY,  409.951 ,  380.302 ,  19.592 ,  981 ,  95 ,  3.850 ,  3.516 ,  1.609 ,  6 ,  -   
DAVAO ORIENTAL,  128.558 ,  95.729 ,  25.205 ,  1.273 ,  438 ,  1.679 ,  3.619 ,  477 ,  138 ,  -   
BAGANGA,  13.339 ,  8.958 ,  2.653 ,  263 ,  1 ,  167 ,  1.263 ,  26 ,  8 ,  -   
BANAYBANAY,  9.321 ,  8.086 ,  1.134 ,  4 ,  1 ,  12 ,  66 ,  10 ,  8 ,  -   
BOSTON,  3.216 ,  1.972 ,  965 ,  126 ,  -   ,  2 ,  147 ,  4 ,  -   ,  -   
CARAGA,  9.239 ,  5.683 ,  2.982 ,  218 ,  2 ,  109 ,  229 ,  12 ,  4 ,  -   
CATEEL,  9.711 ,  5.806 ,  2.074 ,  371 ,  406 ,  400 ,  471 ,  176 ,  7 ,  -   
GOVERNOR GENEROSO,  12.738 ,  10.040 ,  2.471 ,  14 ,  1 ,  28 ,  157 ,  17 ,  10 ,  -   
LUPON,  15.250 ,  12.448 ,  2.308 ,  3 ,  11 ,  224 ,  193 ,  51 ,  12 ,  -   
MANAY,  9.666 ,  5.016 ,  3.526 ,  100 ,  5 ,  540 ,  474 ,  4 ,  1 ,  -   
CITY OF MATI (Capital),  32.492 ,  27.839 ,  4.048 ,  44 ,  10 ,  115 ,  318 ,  77 ,  41 ,  -   
SAN ISIDRO,  7.821 ,  5.855 ,  1.707 ,  4 ,  -   ,  43 ,  131 ,  37 ,  44 ,  -   
TARRAGONA,  5.765 ,  4.026 ,  1.337 ,  126 ,  1 ,  39 ,  170 ,  63 ,  3 ,  -   
COMPOSTELA VALLEY,  169.441 ,  124.512 ,  32.132 ,  888 ,  33 ,  1.974 ,  7.997 ,  1.720 ,  185 ,  -   
COMPOSTELA,  19.093 ,  15.301 ,  2.742 ,  159 ,  18 ,  110 ,  688 ,  75 ,  -   ,  -   
LAAK (SAN VICENTE),  17.537 ,  8.926 ,  5.156 ,  127 ,  -   ,  281 ,  2.854 ,  47 ,  146 ,  -   
MABINI (DOÑA ALICIA),  9.654 ,  7.924 ,  1.630 ,  3 ,  -   ,  22 ,  63 ,  11 ,  1 ,  -   
MACO,  19.150 ,  16.078 ,  2.569 ,  50 ,  -   ,  48 ,  290 ,  77 ,  38 ,  -   
MARAGUSAN (SAN MARIANO),  14.349 ,  10.683 ,  2.695 ,  185 ,  8 ,  386 ,  346 ,  46 ,  -   ,  -   
MAWAB,  8.334 ,  6.653 ,  1.513 ,  7 ,  -   ,  55 ,  98 ,  8 ,  -   ,  -   
MONKAYO,  21.451 ,  15.545 ,  4.429 ,  21 ,  1 ,  486 ,  882 ,  87 ,  -   ,  -   
MONTEVISTA,  10.067 ,  6.465 ,  2.996 ,  4 ,  -   ,  48 ,  539 ,  15 ,  -   ,  -   
NABUNTURAN (Capital),  18.894 ,  15.297 ,  3.033 ,  41 ,  2 ,  143 ,  326 ,  52 ,  -   ,  -   
NEW BATAAN,  11.637 ,  7.951 ,  1.831 ,  22 ,  -   ,  224 ,  1.563 ,  46 ,  -   ,  -   
PANTUKAN,  19.275 ,  13.689 ,  3.538 ,  269 ,  4 ,  171 ,  348 ,  1.256 ,  -   ,  -   
DAVAO OCCIDENTAL,  77.431 ,  32.675 ,  36.260 ,  751 ,  162 ,  2.283 ,  4.654 ,  545 ,  101 ,  -   
DON MARCELINO,  11.207 ,  3.931 ,  6.459 ,  105 ,  4 ,  333 ,  291 ,  76 ,  8 ,  -   
JOSE ABAD SANTOS (TRINIDAD),  18.117 ,  3.896 ,  10.879 ,  303 ,  21 ,  674 ,  2.046 ,  286 ,  12 ,  -   
MALITA,  28.627 ,  14.576 ,  11.583 ,  279 ,  13 ,  663 ,  1.394 ,  83 ,  36 ,  -   
SANTA MARIA,  13.638 ,  8.746 ,  4.495 ,  17 ,  4 ,  73 ,  263 ,  27 ,  13 ,  -   
SARANGANI,  5.842 ,  1.526 ,  2.844 ,  47 ,  120 ,  540 ,  660 ,  73 ,  32 ,  -   
,,,,,,,,,,
REGION XII - SOCCSKSARGEN,  1.050.654 ,  820.294 ,  165.413 ,  2.521 ,  2.028 ,  17.466 ,  38.943 ,  2.583 ,  1.390 ,  16 
COTABATO (NORTH COTABATO),  320.567 ,  218.079 ,  70.868 ,  905 ,  1.139 ,  6.987 ,  21.532 ,  862 ,  195 ,  -   
ALAMADA,  14.993 ,  7.468 ,  3.462 ,  23 ,  3 ,  1.172 ,  2.846 ,  14 ,  5 ,  -   
CARMEN,  21.905 ,  11.595 ,  6.301 ,  172 ,  1 ,  742 ,  3.005 ,  51 ,  38 ,  -   
KABACAN,  20.094 ,  16.412 ,  1.881 ,  6 ,  270 ,  303 ,  1.159 ,  54 ,  9 ,  -   
CITY OF KIDAPAWAN (Capital),  33.250 ,  29.024 ,  3.869 ,  9 ,  1 ,  57 ,  201 ,  74 ,  15 ,  -   
LIBUNGAN,  11.476 ,  8.409 ,  2.314 ,  8 ,  1 ,  170 ,  532 ,  35 ,  7 ,  -   
MAGPET,  11.181 ,  7.336 ,  3.584 ,  -   ,  -   ,  37 ,  206 ,  12 ,  6 ,  -   
MAKILALA,  19.356 ,  15.580 ,  3.447 ,  2 ,  5 ,  42 ,  227 ,  48 ,  5 ,  -   
MATALAM,  18.816 ,  13.727 ,  4.125 ,  50 ,  1 ,  145 ,  708 ,  56 ,  4 ,  -   
MIDSAYAP,  34.198 ,  25.649 ,  5.666 ,  129 ,  62 ,  618 ,  1.994 ,  58 ,  22 ,  -   
M'LANG,  23.645 ,  19.140 ,  3.690 ,  30 ,  10 ,  83 ,  484 ,  184 ,  24 ,  -   
PIGKAWAYAN,  15.826 ,  11.780 ,  3.107 ,  14 ,  2 ,  157 ,  701 ,  56 ,  9 ,  -   
PIKIT,  36.099 ,  13.561 ,  14.083 ,  134 ,  710 ,  2.116 ,  5.438 ,  46 ,  11 ,  -   
PRESIDENT ROXAS,  10.927 ,  7.590 ,  2.762 ,  33 ,  -   ,  199 ,  300 ,  29 ,  14 ,  -   
TULUNAN,  13.513 ,  10.379 ,  2.380 ,  91 ,  52 ,  119 ,  468 ,  20 ,  4 ,  -   
ANTIPAS,  6.071 ,  4.773 ,  1.158 ,  1 ,  -   ,  19 ,  104 ,  12 ,  4 ,  -   
BANISILAN,  9.649 ,  6.133 ,  1.934 ,  48 ,  -   ,  145 ,  1.379 ,  9 ,  1 ,  -   
ALEOSAN,  8.845 ,  3.970 ,  3.564 ,  7 ,  -   ,  312 ,  942 ,  36 ,  14 ,  -   
ARAKAN,  10.723 ,  5.553 ,  3.541 ,  148 ,  21 ,  551 ,  838 ,  68 ,  3 ,  -   
SOUTH COTABATO (excluding General Santos City),  217.926 ,  185.933 ,  23.366 ,  301 ,  87 ,  3.444 ,  4.009 ,  464 ,  322 ,  -   
BANGA,  21.100 ,  18.935 ,  1.606 ,  18 ,  10 ,  199 ,  217 ,  107 ,  8 ,  -   
CITY OF KORONADAL (Capital),  42.902 ,  41.081 ,  1.603 ,  46 ,  8 ,  27 ,  64 ,  42 ,  31 ,  -   
NORALA,  10.601 ,  9.846 ,  524 ,  10 ,  3 ,  27 ,  165 ,  22 ,  4 ,  -   
POLOMOLOK,  36.720 ,  34.871 ,  1.572 ,  21 ,  11 ,  45 ,  144 ,  40 ,  16 ,  -   
SURALLAH,  20.330 ,  17.106 ,  1.763 ,  13 ,  39 ,  867 ,  503 ,  31 ,  8 ,  -   
TAMPAKAN,  9.444 ,  8.253 ,  1.007 ,  6 ,  1 ,  21 ,  114 ,  13 ,  29 ,  -   
TANTANGAN,  10.396 ,  9.316 ,  878 ,  7 ,  3 ,  41 ,  132 ,  18 ,  1 ,  -   
T'BOLI,  21.441 ,  13.773 ,  6.191 ,  118 ,  3 ,  582 ,  646 ,  115 ,  13 ,  -   
TUPI,  16.695 ,  14.506 ,  2.003 ,  20 ,  2 ,  56 ,  91 ,  7 ,  10 ,  -   
SANTO NIÑO,  9.719 ,  9.181 ,  455 ,  4 ,  4 ,  7 ,  54 ,  9 ,  5 ,  -   
LAKE SEBU,  18.578 ,  9.065 ,  5.764 ,  38 ,  3 ,  1.572 ,  1.879 ,  60 ,  197 ,  -   
GENERAL SANTOS CITY (DADIANGAS),  144.332 ,  138.889 ,  4.212 ,  141 ,  87 ,  150 ,  493 ,  224 ,  136 ,  -   
SULTAN KUDARAT,  184.650 ,  138.109 ,  32.428 ,  444 ,  637 ,  4.138 ,  7.760 ,  677 ,  457 ,  -   
BAGUMBAYAN,  15.440 ,  10.923 ,  2.504 ,  24 ,  82 ,  891 ,  961 ,  50 ,  5 ,  -   
COLUMBIO,  8.134 ,  5.488 ,  1.633 ,  115 ,  49 ,  40 ,  804 ,  4 ,  1 ,  -   
ESPERANZA,  15.868 ,  12.099 ,  2.796 ,  41 ,  23 ,  246 ,  421 ,  124 ,  118 ,  -   
ISULAN (Capital),  20.332 ,  19.147 ,  681 ,  28 ,  20 ,  107 ,  265 ,  55 ,  29 ,  -   
KALAMANSIG,  10.957 ,  5.869 ,  3.673 ,  46 ,  34 ,  361 ,  707 ,  211 ,  56 ,  -   
LEBAK,  20.388 ,  12.658 ,  6.370 ,  21 ,  7 ,  388 ,  771 ,  148 ,  25 ,  -   
LUTAYAN,  13.092 ,  11.464 ,  1.309 ,  41 ,  1 ,  84 ,  190 ,  1 ,  2 ,  -   
LAMBAYONG (MARIANO MARCOS),  17.815 ,  15.804 ,  1.341 ,  7 ,  1 ,  43 ,  551 ,  10 ,  58 ,  -   
PALIMBANG,  19.121 ,  9.260 ,  6.563 ,  25 ,  391 ,  904 ,  1.827 ,  40 ,  111 ,  -   
PRESIDENT QUIRINO,  9.966 ,  9.213 ,  494 ,  8 ,  24 ,  107 ,  105 ,  7 ,  8 ,  -   
CITY OF TACURONG,  21.814 ,  21.139 ,  564 ,  12 ,  4 ,  19 ,  60 ,  7 ,  9 ,  -   
SEN. NINOY AQUINO,  11.723 ,  5.045 ,  4.500 ,  76 ,  1 ,  948 ,  1.098 ,  20 ,  35 ,  -   
SARANGANI,  124.313 ,  84.964 ,  31.834 ,  644 ,  57 ,  2.470 ,  3.936 ,  309 ,  99 ,  -   
ALABEL (Capital),  17.929 ,  14.208 ,  3.118 ,  121 ,  6 ,  179 ,  251 ,  18 ,  28 ,  -   
GLAN,  28.366 ,  17.192 ,  9.293 ,  432 ,  3 ,  806 ,  613 ,  16 ,  11 ,  -   
KIAMBA,  13.588 ,  10.904 ,  2.402 ,  4 ,  5 ,  71 ,  147 ,  42 ,  13 ,  -   
MAASIM,  13.260 ,  10.262 ,  1.617 ,  11 ,  35 ,  516 ,  785 ,  28 ,  6 ,  -   
MAITUM,  10.631 ,  7.426 ,  2.790 ,  8 ,  2 ,  98 ,  226 ,  68 ,  13 ,  -   
MALAPATAN,  15.958 ,  9.470 ,  5.635 ,  22 ,  5 ,  411 ,  395 ,  6 ,  14 ,  -   
MALUNGON,  24.581 ,  15.502 ,  6.979 ,  46 ,  1 ,  389 ,  1.519 ,  131 ,  14 ,  -   
COTABATO CITY,  58.866 ,  54.320 ,  2.705 ,  86 ,  21 ,  277 ,  1.213 ,  47 ,  181 ,  16 
,,,,,,,,,,
REGION XIII - CARAGA,  573.998 ,  488.249 ,  73.366 ,  1.127 ,  211 ,  3.977 ,  4.999 ,  1.424 ,  644 ,  1 
AGUSAN DEL NORTE (excluding Butuan City),  77.609 ,  66.896 ,  10.045 ,  50 ,  16 ,  145 ,  213 ,  65 ,  179 ,  -   
BUENAVISTA,  13.924 ,  11.509 ,  2.161 ,  32 ,  6 ,  40 ,  67 ,  6 ,  103 ,  -   
CITY OF CABADBARAN,  16.698 ,  15.044 ,  1.586 ,  5 ,  1 ,  15 ,  25 ,  20 ,  2 ,  -   
CARMEN,  4.711 ,  3.840 ,  858 ,  -   ,  -   ,  -   ,  13 ,  -   ,  -   ,  -   
JABONGA,  5.155 ,  4.578 ,  534 ,  13 ,  2 ,  5 ,  23 ,  -   ,  -   ,  -   
KITCHARAO,  4.326 ,  3.817 ,  496 ,  -   ,  -   ,  -   ,  13 ,  -   ,  -   ,  -   
LAS NIEVES,  5.717 ,  4.682 ,  996 ,  -   ,  4 ,  12 ,  23 ,  -   ,  -   ,  -   
MAGALLANES,  4.481 ,  4.024 ,  442 ,  -   ,  -   ,  1 ,  12 ,  2 ,  -   ,  -   
NASIPIT,  9.155 ,  8.228 ,  855 ,  -   ,  3 ,  2 ,  28 ,  12 ,  27 ,  -   
SANTIAGO,  4.681 ,  3.941 ,  652 ,  -   ,  -   ,  13 ,  5 ,  24 ,  46 ,  -   
TUBAY,  5.254 ,  4.229 ,  964 ,  -   ,  -   ,  56 ,  4 ,  -   ,  1 ,  -   
