City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
POLILLO,  6.965 ,  1.267 ,  1.433 ,  345 ,  815 ,  15 ,  1.731 ,  7 ,  1.196 ,  85 ,  14 ,  57 ,  -   ,  -   
QUEZON,  3.681 ,  114 ,  519 ,  469 ,  2.272 ,  36 ,  115 ,  18 ,  2 ,  75 ,  -   ,  59 ,  2 ,  -   
REAL,  8.015 ,  4.246 ,  1.851 ,  178 ,  755 ,  77 ,  156 ,  460 ,  56 ,  187 ,  2 ,  47 ,  -   ,  -   
SAMPALOC,  3.035 ,  2.608 ,  269 ,  22 ,  36 ,  7 ,  14 ,  53 ,  1 ,  5 ,  6 ,  12 ,  2 ,  -   
SAN ANDRES,  8.745 ,  851 ,  2.266 ,  738 ,  1.916 ,  113 ,  1.845 ,  189 ,  601 ,  178 ,  5 ,  42 ,  1 ,  -   
SAN ANTONIO,  7.383 ,  2.488 ,  469 ,  2.140 ,  1.534 ,  255 ,  303 ,  141 ,  2 ,  30 ,  -   ,  21 ,  -   ,  -   
SAN FRANCISCO (AURORA),  13.903 ,  1.820 ,  5.249 ,  930 ,  1.700 ,  564 ,  1.674 ,  1.297 ,  472 ,  159 ,  10 ,  27 ,  1 ,  -   
SAN NARCISO,  10.700 ,  2.791 ,  1.701 ,  265 ,  2.277 ,  655 ,  1.499 ,  1.263 ,  200 ,  8 ,  -   ,  41 ,  -   ,  -   
SARIAYA,  34.592 ,  11.577 ,  2.531 ,  10.061 ,  6.400 ,  2.126 ,  84 ,  739 ,  20 ,  101 ,  792 ,  150 ,  11 ,  -   
TAGKAWAYAN,  11.645 ,  3.127 ,  1.916 ,  733 ,  2.103 ,  39 ,  2.714 ,  531 ,  252 ,  35 ,  156 ,  38 ,  1 ,  -   
CITY OF TAYABAS,  23.837 ,  12.113 ,  5.966 ,  567 ,  1.177 ,  261 ,  920 ,  1.794 ,  577 ,  102 ,  60 ,  270 ,  30 ,  -   
TIAONG,  22.366 ,  7.419 ,  1.317 ,  7.910 ,  5.007 ,  100 ,  175 ,  247 ,  77 ,  8 ,  19 ,  86 ,  1 ,  -   
UNISAN,  6.290 ,  125 ,  610 ,  235 ,  1.375 ,  208 ,  2.080 ,  900 ,  35 ,  157 ,  300 ,  265 ,  -   ,  -   
LUCENA CITY (Capital),  59.836 ,  29.972 ,  15.444 ,  1.577 ,  5.085 ,  996 ,  267 ,  114 ,  16 ,  93 ,  5.311 ,  948 ,  13 ,  -   
RIZAL,  652.578 ,  468.517 ,  80.738 ,  15.381 ,  39.605 ,  3.474 ,  7.557 ,  11.625 ,  2.452 ,  625 ,  12.496 ,  9.072 ,  1.036 ,  -   
ANGONO,  25.325 ,  21.276 ,  2.786 ,  164 ,  187 ,  13 ,  84 ,  82 ,  12 ,  1 ,  160 ,  477 ,  83 ,  -   
CITY OF ANTIPOLO,  170.496 ,  119.718 ,  28.087 ,  3.525 ,  4.755 ,  845 ,  2.055 ,  3.998 ,  366 ,  174 ,  4.932 ,  1.680 ,  361 ,  -   
BARAS,  16.706 ,  3.290 ,  1.053 ,  511 ,  8.723 ,  359 ,  98 ,  371 ,  176 ,  115 ,  1.144 ,  863 ,  3 ,  -   
BINANGONAN,  69.786 ,  52.274 ,  8.342 ,  1.943 ,  6.242 ,  147 ,  148 ,  10 ,  2 ,  5 ,  263 ,  334 ,  76 ,  -   
CAINTA,  71.463 ,  61.201 ,  7.406 ,  885 ,  575 ,  30 ,  39 ,  16 ,  -   ,  1 ,  485 ,  761 ,  64 ,  -   
CARDONA,  12.114 ,  7.387 ,  1.711 ,  256 ,  2.575 ,  4 ,  85 ,  16 ,  1 ,  2 ,  -   ,  69 ,  8 ,  -   
JALA-JALA,  6.919 ,  1.851 ,  708 ,  1.557 ,  2.210 ,  58 ,  45 ,  186 ,  19 ,  71 ,  70 ,  142 ,  2 ,  -   
RODRIGUEZ (MONTALBAN),  82.348 ,  61.285 ,  5.089 ,  1.367 ,  5.234 ,  606 ,  3.520 ,  2.176 ,  421 ,  28 ,  817 ,  1.721 ,  84 ,  -   
MORONG,  13.180 ,  10.566 ,  1.327 ,  71 ,  862 ,  30 ,  106 ,  112 ,  2 ,  1 ,  19 ,  82 ,  2 ,  -   
PILILLA,  14.734 ,  8.291 ,  1.463 ,  358 ,  2.106 ,  456 ,  259 ,  227 ,  512 ,  82 ,  841 ,  119 ,  20 ,  -   
SAN MATEO,  56.379 ,  39.083 ,  7.647 ,  1.089 ,  3.222 ,  586 ,  496 ,  1.190 ,  91 ,  54 ,  1.049 ,  1.740 ,  132 ,  -   
TANAY,  25.836 ,  14.842 ,  2.852 ,  1.954 ,  1.446 ,  90 ,  375 ,  2.667 ,  782 ,  72 ,  530 ,  134 ,  92 ,  -   
TAYTAY,  73.835 ,  57.424 ,  10.793 ,  813 ,  867 ,  220 ,  225 ,  467 ,  58 ,  3 ,  2.020 ,  836 ,  109 ,  -   
TERESA,  13.457 ,  10.029 ,  1.474 ,  888 ,  601 ,  30 ,  22 ,  107 ,  10 ,  16 ,  166 ,  114 ,  -   ,  -   
,,,,,,,,,,,,,,
MIMAROPA REGION,  682.668 ,  175.920 ,  100.142 ,  89.651 ,  143.042 ,  34.007 ,  67.404 ,  27.425 ,  13.370 ,  12.254 ,  11.712 ,  6.590 ,  1.151 ,  -   
MARINDUQUE,  54.508 ,  17.310 ,  14.150 ,  3.091 ,  11.856 ,  1.310 ,  2.078 ,  2.349 ,  774 ,  737 ,  62 ,  769 ,  22 ,  -   
BOAC (Capital),  12.679 ,  3.972 ,  3.068 ,  444 ,  3.301 ,  363 ,  246 ,  786 ,  180 ,  25 ,  1 ,  289 ,  4 ,  -   
BUENAVISTA,  5.312 ,  1.426 ,  1.854 ,  551 ,  1.198 ,  16 ,  81 ,  121 ,  4 ,  49 ,  -   ,  12 ,  -   ,  -   
GASAN,  8.070 ,  1.607 ,  1.795 ,  1.187 ,  2.385 ,  635 ,  67 ,  107 ,  125 ,  15 ,  6 ,  129 ,  12 ,  -   
MOGPOG,  8.241 ,  2.151 ,  1.890 ,  228 ,  1.948 ,  101 ,  676 ,  854 ,  172 ,  9 ,  4 ,  208 ,  -   ,  -   
SANTA CRUZ,  13.340 ,  5.764 ,  2.418 ,  568 ,  2.311 ,  165 ,  756 ,  331 ,  269 ,  611 ,  49 ,  92 ,  6 ,  -   
TORRIJOS,  6.866 ,  2.390 ,  3.125 ,  113 ,  713 ,  30 ,  252 ,  150 ,  24 ,  28 ,  2 ,  39 ,  -   ,  -   
OCCIDENTAL MINDORO,  111.714 ,  21.264 ,  10.460 ,  22.991 ,  24.894 ,  17.650 ,  4.559 ,  4.201 ,  2.495 ,  1.369 ,  167 ,  1.596 ,  68 ,  -   
ABRA DE ILOG,  7.329 ,  1.282 ,  461 ,  917 ,  2.612 ,  848 ,  299 ,  538 ,  197 ,  174 ,  -   ,  -   ,  1 ,  -   
CALINTAAN,  6.451 ,  210 ,  321 ,  1.016 ,  1.440 ,  3.000 ,  8 ,  230 ,  113 ,  81 ,  1 ,  23 ,  8 ,  -   
LOOC,  2.421 ,  729 ,  792 ,  112 ,  242 ,  207 ,  297 ,  21 ,  1 ,  19 ,  -   ,  -   ,  1 ,  -   
LUBANG,  4.777 ,  3.426 ,  414 ,  96 ,  92 ,  24 ,  408 ,  -   ,  5 ,  275 ,  1 ,  35 ,  1 ,  -   
MAGSAYSAY,  7.819 ,  1.504 ,  552 ,  794 ,  2.417 ,  821 ,  147 ,  1.022 ,  359 ,  54 ,  1 ,  148 ,  -   ,  -   
MAMBURAO (Capital),  10.025 ,  1.875 ,  705 ,  3.233 ,  3.418 ,  179 ,  57 ,  216 ,  114 ,  101 ,  29 ,  98 ,  -   ,  -   
PALUAN,  3.603 ,  16 ,  345 ,  694 ,  459 ,  1.094 ,  3 ,  544 ,  331 ,  114 ,  1 ,  -   ,  2 ,  -   
RIZAL,  8.468 ,  330 ,  803 ,  1.603 ,  1.603 ,  3.958 ,  35 ,  53 ,  13 ,  39 ,  5 ,  19 ,  7 ,  -   
SABLAYAN,  18.558 ,  3.597 ,  1.284 ,  5.977 ,  4.008 ,  2.378 ,  58 ,  282 ,  568 ,  261 ,  35 ,  99 ,  11 ,  -   
SAN JOSE,  33.208 ,  8.163 ,  4.185 ,  5.991 ,  6.269 ,  2.500 ,  3.243 ,  939 ,  564 ,  73 ,  94 ,  1.152 ,  35 ,  -   
SANTA CRUZ,  9.055 ,  132 ,  598 ,  2.558 ,  2.334 ,  2.641 ,  4 ,  356 ,  230 ,  178 ,  -   ,  22 ,  2 ,  -   
ORIENTAL MINDORO,  190.763 ,  39.859 ,  24.919 ,  35.887 ,  51.557 ,  9.541 ,  3.712 ,  8.764 ,  4.076 ,  948 ,  9.135 ,  1.350 ,  1.015 ,  -   
BACO,  8.326 ,  1.720 ,  1.326 ,  2.121 ,  2.211 ,  45 ,  113 ,  713 ,  23 ,  8 ,  33 ,  11 ,  2 ,  -   
BANSUD,  9.250 ,  432 ,  623 ,  3.558 ,  3.220 ,  169 ,  54 ,  734 ,  433 ,  19 ,  1 ,  6 ,  1 ,  -   
BONGABONG,  16.753 ,  1.666 ,  3.112 ,  2.462 ,  5.324 ,  1.386 ,  428 ,  1.193 ,  573 ,  140 ,  457 ,  11 ,  1 ,  -   
BULALACAO (SAN PEDRO),  8.542 ,  1.463 ,  3.193 ,  316 ,  1.246 ,  536 ,  264 ,  757 ,  672 ,  51 ,  7 ,  36 ,  1 ,  -   
CITY OF CALAPAN (Capital),  30.734 ,  13.008 ,  2.697 ,  4.067 ,  6.199 ,  1.220 ,  740 ,  21 ,  38 ,  40 ,  2.039 ,  625 ,  40 ,  -   
GLORIA,  10.366 ,  775 ,  1.203 ,  3.608 ,  4.306 ,  66 ,  47 ,  85 ,  149 ,  17 ,  84 ,  9 ,  17 ,  -   
MANSALAY,  11.286 ,  827 ,  1.640 ,  1.440 ,  3.399 ,  819 ,  734 ,  731 ,  526 ,  187 ,  788 ,  25 ,  170 ,  -   
NAUJAN,  23.348 ,  3.949 ,  2.956 ,  6.012 ,  7.786 ,  1.347 ,  52 ,  555 ,  385 ,  73 ,  186 ,  36 ,  11 ,  -   
PINAMALAYAN,  19.551 ,  3.704 ,  1.579 ,  2.723 ,  4.561 ,  418 ,  111 ,  846 ,  80 ,  82 ,  5.258 ,  179 ,  10 ,  -   
POLA,  8.192 ,  3.071 ,  1.152 ,  932 ,  1.963 ,  165 ,  150 ,  544 ,  171 ,  19 ,  14 ,  9 ,  2 ,  -   
PUERTO GALERA,  8.322 ,  4.021 ,  1.976 ,  449 ,  667 ,  9 ,  176 ,  291 ,  24 ,  260 ,  237 ,  170 ,  42 ,  -   
ROXAS,  11.719 ,  644 ,  1.213 ,  2.186 ,  4.578 ,  2.459 ,  440 ,  54 ,  97 ,  18 ,  6 ,  21 ,  3 ,  -   
SAN TEODORO,  4.058 ,  1.237 ,  256 ,  462 ,  395 ,  20 ,  138 ,  1.267 ,  255 ,  11 ,  -   ,  11 ,  6 ,  -   
SOCORRO,  9.108 ,  1.870 ,  738 ,  1.927 ,  2.876 ,  363 ,  245 ,  293 ,  457 ,  7 ,  14 ,  191 ,  127 ,  -   
VICTORIA,  11.208 ,  1.472 ,  1.255 ,  3.624 ,  2.826 ,  519 ,  20 ,  680 ,  193 ,  16 ,  11 ,  10 ,  582 ,  -   
PALAWAN (excluding Puerto Princesa City),  195.074 ,  32.539 ,  31.855 ,  18.129 ,  34.835 ,  3.652 ,  53.231 ,  7.009 ,  4.232 ,  5.665 ,  2.184 ,  1.734 ,  9 ,  -   
ABORLAN,  8.294 ,  2.447 ,  1.564 ,  1.007 ,  2.060 ,  413 ,  524 ,  150 ,  13 ,  101 ,  4 ,  11 ,  -   ,  -   
AGUTAYA,  3.045 ,  110 ,  414 ,  11 ,  505 ,  31 ,  1.969 ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   
ARACELI,  3.294 ,  179 ,  273 ,  53 ,  25 ,  7 ,  2.135 ,  1 ,  15 ,  74 ,  327 ,  205 ,  -   ,  -   
BALABAC,  8.445 ,  81 ,  125 ,  99 ,  1.502 ,  66 ,  5.065 ,  744 ,  24 ,  420 ,  288 ,  31 ,  -   ,  -   
BATARAZA,  17.983 ,  3.593 ,  4.839 ,  1.556 ,  3.448 ,  126 ,  3.050 ,  244 ,  530 ,  377 ,  3 ,  217 ,  -   ,  -   
BROOKE'S POINT,  15.474 ,  2.085 ,  1.675 ,  3.169 ,  5.737 ,  132 ,  552 ,  937 ,  327 ,  801 ,  4 ,  55 ,  -   ,  -   
BUSUANGA,  5.051 ,  1.697 ,  1.424 ,  150 ,  229 ,  41 ,  1.053 ,  152 ,  196 ,  104 ,  1 ,  4 ,  -   ,  -   
CAGAYANCILLO,  1.184 ,  1 ,  -   ,  -   ,  11 ,  2 ,  171 ,  -   ,  -   ,  999 ,  -   ,  -   ,  -   ,  -   
CORON,  11.512 ,  3.843 ,  2.207 ,  520 ,  1.163 ,  42 ,  2.672 ,  351 ,  22 ,  377 ,  -   ,  315 ,  -   ,  -   
CUYO,  5.103 ,  99 ,  697 ,  79 ,  49 ,  14 ,  3.709 ,  -   ,  5 ,  2 ,  447 ,  2 ,  -   ,  -   
DUMARAN,  5.812 ,  466 ,  1.140 ,  265 ,  336 ,  432 ,  3.131 ,  5 ,  3 ,  21 ,  12 ,  1 ,  -   ,  -   
EL NIDO (BACUIT),  9.490 ,  450 ,  1.944 ,  488 ,  1.009 ,  239 ,  4.183 ,  206 ,  175 ,  260 ,  235 ,  301 ,  -   ,  -   
LINAPACAN,  3.370 ,  25 ,  1.208 ,  9 ,  47 ,  21 ,  1.771 ,  206 ,  23 ,  50 ,  3 ,  7 ,  -   ,  -   
MAGSAYSAY,  2.733 ,  93 ,  130 ,  50 ,  20 ,  4 ,  2.261 ,  -   ,  -   ,  3 ,  172 ,  -   ,  -   ,  -   
NARRA,  16.922 ,  2.678 ,  1.895 ,  4.989 ,  5.345 ,  1.065 ,  636 ,  116 ,  70 ,  64 ,  -   ,  64 ,  -   ,  -   
QUEZON,  13.941 ,  1.985 ,  1.957 ,  1.355 ,  4.110 ,  155 ,  3.164 ,  235 ,  442 ,  341 ,  80 ,  113 ,  4 ,  -   
ROXAS,  15.377 ,  3.821 ,  2.839 ,  743 ,  1.933 ,  154 ,  4.300 ,  321 ,  24 ,  431 ,  512 ,  299 ,  -   ,  -   
SAN VICENTE,  6.711 ,  3.362 ,  1.324 ,  146 ,  378 ,  96 ,  601 ,  151 ,  450 ,  147 ,  18 ,  38 ,  -   ,  -   
TAYTAY,  16.137 ,  2.840 ,  3.618 ,  1.036 ,  1.057 ,  138 ,  6.415 ,  713 ,  210 ,  80 ,  13 ,  16 ,  1 ,  -   
KALAYAAN,  31 ,  29 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   
CULION,  4.652 ,  1.281 ,  1.071 ,  24 ,  462 ,  17 ,  1.050 ,  336 ,  192 ,  153 ,  50 ,  16 ,  -   ,  -   
RIZAL (MARCOS),  12.826 ,  414 ,  584 ,  1.556 ,  3.026 ,  222 ,  3.182 ,  1.837 ,  1.445 ,  529 ,  1 ,  30 ,  -   ,  -   
SOFRONIO ESPAÑOLA,  7.687 ,  960 ,  927 ,  824 ,  2.383 ,  235 ,  1.637 ,  304 ,  66 ,  331 ,  9 ,  7 ,  4 ,  -   
PUERTO PRINCESA CITY (Capital),  62.247 ,  40.659 ,  9.336 ,  2.184 ,  4.732 ,  714 ,  2.014 ,  1.210 ,  83 ,  553 ,  53 ,  696 ,  13 ,  -   
ROMBLON,  68.362 ,  24.289 ,  9.422 ,  7.369 ,  15.168 ,  1.140 ,  1.810 ,  3.892 ,  1.710 ,  2.982 ,  111 ,  445 ,  24 ,  -   
ALCANTARA,  3.673 ,  762 ,  635 ,  1.174 ,  864 ,  3 ,  42 ,  129 ,  28 ,  9 ,  -   ,  27 ,  -   ,  -   
BANTON,  1.420 ,  59 ,  74 ,  17 ,  392 ,  4 ,  14 ,  190 ,  60 ,  609 ,  -   ,  1 ,  -   ,  -   
CAJIDIOCAN,  4.983 ,  1.504 ,  649 ,  542 ,  949 ,  22 ,  38 ,  467 ,  554 ,  242 ,  10 ,  6 ,  -   ,  -   
CALATRAVA,  2.334 ,  1.773 ,  213 ,  37 ,  92 ,  61 ,  7 ,  58 ,  2 ,  81 ,  1 ,  9 ,  -   ,  -   
CONCEPCION,  1.048 ,  695 ,  5 ,  27 ,  20 ,  25 ,  65 ,  80 ,  20 ,  111 ,  -   ,  -   ,  -   ,  -   
CORCUERA,  2.471 ,  203 ,  460 ,  128 ,  617 ,  91 ,  346 ,  109 ,  -   ,  499 ,  15 ,  3 ,  -   ,  -   
LOOC,  5.380 ,  2.018 ,  661 ,  692 ,  1.653 ,  11 ,  95 ,  144 ,  70 ,  4 ,  -   ,  30 ,  2 ,  -   
MAGDIWANG,  3.079 ,  593 ,  703 ,  296 ,  796 ,  3 ,  78 ,  483 ,  32 ,  66 ,  -   ,  12 ,  17 ,  -   
ODIONGAN,  11.460 ,  3.613 ,  674 ,  2.236 ,  3.819 ,  258 ,  168 ,  329 ,  187 ,  58 ,  2 ,  115 ,  1 ,  -   
ROMBLON (CAPITAL),  8.997 ,  4.359 ,  1.928 ,  159 ,  532 ,  306 ,  274 ,  327 ,  218 ,  729 ,  51 ,  113 ,  1 ,  -   
SAN AGUSTIN,  5.273 ,  2.992 ,  618 ,  255 ,  557 ,  17 ,  112 ,  263 ,  114 ,  311 ,  9 ,  25 ,  -   ,  -   
SAN ANDRES,  3.550 ,  601 ,  830 ,  457 ,  1.151 ,  24 ,  158 ,  198 ,  94 ,  4 ,  1 ,  32 ,  -   ,  -   
SAN FERNANDO,  5.055 ,  2.842 ,  671 ,  251 ,  547 ,  192 ,  23 ,  179 ,  136 ,  211 ,  -   ,  2 ,  1 ,  -   
SAN JOSE,  2.392 ,  631 ,  515 ,  80 ,  284 ,  -   ,  47 ,  681 ,  121 ,  15 ,  -   ,  18 ,  -   ,  -   
SANTA FE,  3.711 ,  265 ,  426 ,  730 ,  1.702 ,  116 ,  318 ,  74 ,  13 ,  12 ,  22 ,  32 ,  1 ,  -   
FERROL,  1.656 ,  129 ,  127 ,  243 ,  1.024 ,  3 ,  11 ,  56 ,  50 ,  -   ,  -   ,  12 ,  1 ,  -   
SANTA MARIA (IMELDA),  1.880 ,  1.250 ,  233 ,  45 ,  169 ,  4 ,  14 ,  125 ,  11 ,  21 ,  -   ,  8 ,  -   ,  -   
,,,,,,,,,,,,,,
REGION V - BICOL,  1.216.369 ,  341.360 ,  265.852 ,  105.864 ,  216.205 ,  29.324 ,  132.106 ,  60.262 ,  16.603 ,  5.292 ,  29.962 ,  12.848 ,  691 ,  -   
ALBAY,  277.091 ,  88.039 ,  60.354 ,  28.581 ,  52.999 ,  4.992 ,  14.541 ,  14.130 ,  3.146 ,  1.464 ,  3.310 ,  5.472 ,  63 ,  -   
BACACAY,  14.365 ,  3.555 ,  2.671 ,  1.562 ,  2.574 ,  380 ,  2.192 ,  1.210 ,  86 ,  32 ,  51 ,  52 ,  -   ,  -   
CAMALIG,  14.787 ,  3.311 ,  1.567 ,  1.703 ,  4.395 ,  1.028 ,  659 ,  1.163 ,  328 ,  397 ,  108 ,  128 ,  -   ,  -   
DARAGA (LOCSIN),  27.648 ,  8.987 ,  3.601 ,  3.738 ,  8.558 ,  148 ,  500 ,  1.202 ,  187 ,  35 ,  149 ,  540 ,  3 ,  -   
GUINOBATAN,  18.239 ,  4.601 ,  3.061 ,  2.397 ,  4.798 ,  140 ,  686 ,  1.517 ,  705 ,  41 ,  206 ,  69 ,  18 ,  -   
JOVELLAR,  3.812 ,  137 ,  792 ,  302 ,  1.032 ,  628 ,  429 ,  233 ,  246 ,  9 ,  -   ,  2 ,  2 ,  -   
LEGAZPI CITY (Capital),  41.742 ,  17.678 ,  3.620 ,  3.587 ,  7.516 ,  576 ,  3.605 ,  2.474 ,  333 ,  6 ,  212 ,  2.110 ,  25 ,  -   
LIBON,  15.528 ,  1.850 ,  2.903 ,  3.796 ,  4.240 ,  81 ,  772 ,  387 ,  31 ,  27 ,  607 ,  831 ,  3 ,  -   
CITY OF LIGAO,  22.552 ,  8.277 ,  6.034 ,  1.820 ,  3.401 ,  547 ,  767 ,  1.419 ,  88 ,  29 ,  68 ,  102 ,  -   ,  -   
MALILIPOT,  8.104 ,  3.487 ,  2.308 ,  384 ,  628 ,  15 ,  10 ,  894 ,  243 ,  116 ,  1 ,  18 ,  -   ,  -   
MALINAO,  9.765 ,  4.564 ,  3.639 ,  484 ,  566 ,  7 ,  55 ,  324 ,  48 ,  12 ,  9 ,  57 ,  -   ,  -   
MANITO,  5.066 ,  1.391 ,  3.084 ,  109 ,  115 ,  4 ,  251 ,  103 ,  1 ,  8 ,  -   ,  -   ,  -   ,  -   
OAS,  14.068 ,  2.808 ,  2.680 ,  2.312 ,  2.805 ,  224 ,  691 ,  187 ,  212 ,  145 ,  1.384 ,  620 ,  -   ,  -   
PIO DURAN,  9.467 ,  952 ,  3.581 ,  1.516 ,  2.465 ,  86 ,  570 ,  22 ,  11 ,  10 ,  125 ,  129 ,  -   ,  -   
POLANGUI,  18.313 ,  5.404 ,  3.977 ,  2.350 ,  3.995 ,  244 ,  931 ,  573 ,  57 ,  272 ,  5 ,  505 ,  -   ,  -   
RAPU-RAPU,  7.401 ,  826 ,  3.530 ,  295 ,  1.057 ,  109 ,  924 ,  272 ,  265 ,  48 ,  18 ,  57 ,  -   ,  -   
SANTO DOMINGO (LIBOG),  7.516 ,  3.312 ,  1.834 ,  337 ,  815 ,  54 ,  147 ,  615 ,  40 ,  33 ,  315 ,  11 ,  3 ,  -   
CITY OF TABACO,  27.702 ,  13.631 ,  5.958 ,  1.358 ,  2.844 ,  701 ,  1.259 ,  1.219 ,  245 ,  240 ,  45 ,  193 ,  9 ,  -   
TIWI,  11.016 ,  3.268 ,  5.514 ,  531 ,  1.195 ,  20 ,  93 ,  316 ,  20 ,  4 ,  7 ,  48 ,  -   ,  -   
CAMARINES NORTE,  129.994 ,  38.612 ,  35.137 ,  6.786 ,  15.824 ,  1.424 ,  16.577 ,  7.398 ,  1.053 ,  605 ,  5.370 ,  1.116 ,  92 ,  -   
BASUD,  9.123 ,  1.659 ,  1.578 ,  880 ,  1.651 ,  113 ,  2.423 ,  307 ,  48 ,  21 ,  222 ,  217 ,  4 ,  -   
CAPALONGA,  7.169 ,  452 ,  1.972 ,  188 ,  735 ,  49 ,  2.102 ,  248 ,  96 ,  26 ,  1.270 ,  21 ,  10 ,  -   
DAET (Capital),  23.270 ,  14.865 ,  5.798 ,  882 ,  1.092 ,  30 ,  421 ,  9 ,  46 ,  6 ,  34 ,  79 ,  8 ,  -   
SAN LORENZO RUIZ (IMELDA),  3.184 ,  1.538 ,  841 ,  75 ,  99 ,  1 ,  545 ,  46 ,  24 ,  7 ,  1 ,  7 ,  -   ,  -   
JOSE PANGANIBAN,  13.855 ,  3.325 ,  1.742 ,  552 ,  2.665 ,  186 ,  1.747 ,  2.373 ,  234 ,  132 ,  613 ,  282 ,  4 ,  -   
LABO,  22.256 ,  5.909 ,  5.265 ,  974 ,  3.120 ,  389 ,  3.009 ,  2.051 ,  289 ,  97 ,  966 ,  178 ,  9 ,  -   
MERCEDES,  10.899 ,  1.741 ,  5.652 ,  604 ,  1.145 ,  180 ,  1.222 ,  114 ,  30 ,  38 ,  125 ,  7 ,  41 ,  -   
PARACALE,  13.171 ,  2.373 ,  3.563 ,  699 ,  1.727 ,  173 ,  866 ,  1.363 ,  93 ,  241 ,  1.923 ,  150 ,  -   ,  -   
SAN VICENTE,  2.400 ,  841 ,  901 ,  189 ,  283 ,  18 ,  17 ,  37 ,  31 ,  -   ,  -   ,  83 ,  -   ,  -   
SANTA ELENA,  9.214 ,  1.449 ,  2.721 ,  300 ,  1.103 ,  69 ,  2.386 ,  825 ,  57 ,  37 ,  198 ,  69 ,  -   ,  -   
TALISAY,  5.803 ,  1.930 ,  1.932 ,  629 ,  1.055 ,  18 ,  210 ,  11 ,  -   ,  -   ,  1 ,  16 ,  1 ,  -   
VINZONS,  9.650 ,  2.530 ,  3.172 ,  814 ,  1.149 ,  198 ,  1.629 ,  14 ,  105 ,  -   ,  17 ,  7 ,  15 ,  -   
CAMARINES SUR,  400.615 ,  127.419 ,  76.210 ,  52.510 ,  75.475 ,  8.941 ,  23.768 ,  17.861 ,  4.839 ,  1.028 ,  10.198 ,  2.042 ,  324 ,  -   
BAAO,  11.443 ,  3.762 ,  865 ,  2.214 ,  2.312 ,  218 ,  919 ,  937 ,  14 ,  5 ,  31 ,  86 ,  80 ,  -   
BALATAN,  5.881 ,  194 ,  706 ,  1.951 ,  2.024 ,  234 ,  76 ,  420 ,  183 ,  58 ,  27 ,  8 ,  -   ,  -   
BATO,  9.869 ,  1.959 ,  583 ,  2.205 ,  2.783 ,  1.582 ,  95 ,  510 ,  89 ,  24 ,  -   ,  38 ,  1 ,  -   
BOMBON,  3.461 ,  1.627 ,  844 ,  165 ,  646 ,  9 ,  34 ,  80 ,  19 ,  -   ,  1 ,  33 ,  3 ,  -   
BUHI,  16.541 ,  6.666 ,  4.889 ,  877 ,  1.963 ,  182 ,  671 ,  660 ,  219 ,  73 ,  328 ,  12 ,  1 ,  -   
BULA,  13.589 ,  2.510 ,  981 ,  4.023 ,  4.571 ,  161 ,  312 ,  929 ,  37 ,  4 ,  6 ,  37 ,  18 ,  -   
CABUSAO,  3.902 ,  863 ,  1.308 ,  185 ,  468 ,  1 ,  42 ,  2 ,  7 ,  3 ,  1.019 ,  3 ,  1 ,  -   
CALABANGA,  17.211 ,  5.911 ,  4.102 ,  2.103 ,  2.294 ,  402 ,  664 ,  974 ,  256 ,  94 ,  341 ,  55 ,  15 ,  -   
CAMALIGAN,  4.848 ,  2.008 ,  371 ,  454 ,  275 ,  34 ,  8 ,  -   ,  -   ,  -   ,  1.619 ,  79 ,  -   ,  -   
CANAMAN,  7.103 ,  2.274 ,  902 ,  709 ,  481 ,  37 ,  138 ,  7 ,  13 ,  46 ,  1.971 ,  513 ,  12 ,  -   
CARAMOAN,  9.946 ,  1.013 ,  3.469 ,  228 ,  2.321 ,  189 ,  2.170 ,  492 ,  28 ,  24 ,  4 ,  7 ,  1 ,  -   
DEL GALLEGO,  5.249 ,  1.614 ,  1.293 ,  311 ,  924 ,  51 ,  770 ,  189 ,  52 ,  11 ,  28 ,  3 ,  3 ,  -   
GAINZA,  2.251 ,  970 ,  784 ,  70 ,  135 ,  2 ,  2 ,  -   ,  -   ,  -   ,  285 ,  3 ,  -   ,  -   
GARCHITORENA,  5.216 ,  668 ,  1.943 ,  131 ,  975 ,  66 ,  1.295 ,  129 ,  1 ,  2 ,  1 ,  -   ,  5 ,  -   
GOA,  12.842 ,  3.367 ,  2.546 ,  1.993 ,  2.038 ,  105 ,  1.075 ,  1.108 ,  524 ,  58 ,  2 ,  16 ,  10 ,  -   
IRIGA CITY,  21.840 ,  12.289 ,  2.565 ,  2.658 ,  1.955 ,  270 ,  921 ,  634 ,  263 ,  66 ,  134 ,  75 ,  10 ,  -   
LAGONOY,  11.312 ,  2.488 ,  3.153 ,  992 ,  3.328 ,  302 ,  316 ,  426 ,  216 ,  74 ,  4 ,  11 ,  2 ,  -   
LIBMANAN,  23.629 ,  6.027 ,  5.621 ,  3.219 ,  5.527 ,  258 ,  851 ,  1.724 ,  173 ,  79 ,  75 ,  74 ,  1 ,  -   
