Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  15 ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  16 ,  14 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DAGUIOMAN,,,,,,,,
Total,  375 ,  360 ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  352 ,  340 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  4 ,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  16 ,  15 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DANGLAS,,,,,,,,
Total,  910 ,  868 ,  42 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  767 ,  735 ,  32 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  90 ,  84 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  46 ,  42 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DOLORES,,,,,,,,
Total,  2.548 ,  2.424 ,  99 ,  18 ,  7 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  2.133 ,  2.031 ,  84 ,  15 ,  3 ,  -   ,  -   ,  -   
Rent house/room including lot,  21 ,  16 ,  -   ,  1 ,  4 ,  -   ,  -   ,  -   
Own house rent lot,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  223 ,  212 ,  9 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  122 ,  116 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  14 ,  14 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LA PAZ,,,,,,,,
Total,  3.442 ,  3.213 ,  186 ,  42 ,  -   ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  2.775 ,  2.593 ,  149 ,  33 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  14 ,  14 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  434 ,  400 ,  26 ,  7 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  16 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  173 ,  162 ,  9 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  26 ,  24 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LACUB,,,,,,,,
Total,  647 ,  611 ,  34 ,  -   ,  -   ,  1 ,  -   ,  1 
Own or owner like possession of house and lot,  543 ,  515 ,  28 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  47 ,  41 ,  5 ,  -   ,  -   ,  1 ,  -   ,  -   
Own house rent-free lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  46 ,  44 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LAGANGILANG,,,,,,,,
Total,  3.147 ,  2.947 ,  138 ,  56 ,  5 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  2.303 ,  2.186 ,  97 ,  19 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  114 ,  94 ,  8 ,  9 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  11 ,  10 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  399 ,  373 ,  9 ,  17 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  305 ,  269 ,  23 ,  11 ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LAGAYAN,,,,,,,,
Total,  932 ,  878 ,  48 ,  6 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  779 ,  730 ,  43 ,  6 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  88 ,  87 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  64 ,  60 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LANGIDEN,,,,,,,,
Total,  705 ,  672 ,  28 ,  3 ,  1 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  603 ,  574 ,  25 ,  3 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  39 ,  37 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  54 ,  52 ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LICUAN-BAAY (LICUAN),,,,,,,,
Total,  968 ,  926 ,  41 ,  1 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  832 ,  797 ,  34 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  5 ,  4 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  46 ,  46 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  73 ,  67 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LUBA,,,,,,,,
Total,  1.370 ,  1.339 ,  27 ,  3 ,  -   ,  -   ,  1 ,  -   
Own or owner like possession of house and lot,  1.237 ,  1.213 ,  23 ,  -   ,  -   ,  -   ,  1 ,  -   
Rent house/room including lot,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  25 ,  24 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  97 ,  91 ,  3 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MALIBCONG,,,,,,,,
Total,  746 ,  716 ,  27 ,  2 ,  -   ,  1 ,  -   ,  -   
Own or owner like possession of house and lot,  656 ,  630 ,  24 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  33 ,  32 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  55 ,  52 ,  2 ,  -   ,  -   ,  1 ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MANABO,,,,,,,,
Total,  2.475 ,  2.263 ,  163 ,  49 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  2.021 ,  1.872 ,  121 ,  28 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  29 ,  25 ,  1 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  205 ,  182 ,  17 ,  6 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  16 ,  13 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  203 ,  170 ,  22 ,  11 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PEÑARRUBIA,,,,,,,,
Total,  1.478 ,  1.401 ,  64 ,  11 ,  -   ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  1.120 ,  1.078 ,  36 ,  5 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  251 ,  227 ,  20 ,  3 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  98 ,  87 ,  8 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PIDIGAN,,,,,,,,
Total,  2.728 ,  2.605 ,  99 ,  22 ,  1 ,  -   ,  1 ,  -   
Own or owner like possession of house and lot,  2.189 ,  2.089 ,  79 ,  20 ,  -   ,  -   ,  1 ,  -   
Rent house/room including lot,  21 ,  17 ,  3 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  376 ,  367 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  125 ,  115 ,  8 ,  1 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 PILAR,,,,,,,,
Total,  2.289 ,  2.208 ,  76 ,  5 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.788 ,  1.724 ,  60 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  11 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  337 ,  331 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  5 ,  4 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  143 ,  133 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SALLAPADAN,,,,,,,,
Total,  1.341 ,  1.299 ,  39 ,  3 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  1.291 ,  1.253 ,  36 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  20 ,  18 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  26 ,  24 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN ISIDRO,,,,,,,,
Total,  1.082 ,  1.016 ,  53 ,  11 ,  -   ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  793 ,  744 ,  39 ,  8 ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  26 ,  24 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  212 ,  197 ,  12 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  40 ,  40 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN JUAN,,,,,,,,
Total,  2.217 ,  2.124 ,  76 ,  6 ,  1 ,  -   ,  -   ,  10 
Own or owner like possession of house and lot,  1.711 ,  1.642 ,  57 ,  3 ,  -   ,  -   ,  -   ,  9 
Rent house/room including lot,  14 ,  13 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  275 ,  268 ,  6 ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  16 ,  15 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  197 ,  183 ,  11 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  3 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN QUINTIN,,,,,,,,
Total,  1.249 ,  1.180 ,  61 ,  6 ,  -   ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  1.114 ,  1.050 ,  57 ,  6 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  2 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent lot,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  81 ,  77 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  5 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  43 ,  43 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TAYUM,,,,,,,,
Total,  3.140 ,  2.958 ,  154 ,  20 ,  3 ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  2.569 ,  2.430 ,  118 ,  16 ,  1 ,  -   ,  -   ,  4 
Rent house/room including lot,  40 ,  33 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  90 ,  84 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  296 ,  278 ,  16 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  16 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  123 ,  111 ,  7 ,  2 ,  2 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  6 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TINEG,,,,,,,,
Total,  980 ,  973 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  943 ,  937 ,  6 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  16 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  19 ,  18 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TUBO,,,,,,,,
Total,  984 ,  974 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  942 ,  933 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  3 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  12 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  26 ,  26 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 VILLAVICIOSA,,,,,,,,
Total,  1.087 ,  1.032 ,  54 ,  -   ,  -   ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  886 ,  838 ,  48 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  87 ,  85 ,  1 ,  -   ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  4 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  99 ,  94 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 APAYAO,,,,,,,,
Total,  25.560 ,  24.454 ,  857 ,  183 ,  41 ,  10 ,  1 ,  14 
Own or owner like possession of house and lot,  18.316 ,  17.660 ,  516 ,  105 ,  23 ,  3 ,  1 ,  8 
Rent house/room including lot,  183 ,  150 ,  23 ,  6 ,  2 ,  2 ,  -   ,  -   
Own house rent lot,  350 ,  319 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.193 ,  4.954 ,  187 ,  37 ,  9 ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  268 ,  262 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.193 ,  1.054 ,  95 ,  33 ,  7 ,  4 ,  -   ,  -   
Rent-free house and lot without consent of owner,  57 ,  55 ,  -   ,  1 ,  -   ,  1 ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CALANASAN (BAYAG),,,,,,,,
Total,  2.384 ,  2.363 ,  13 ,  -   ,  3 ,  5 ,  -   ,  -   
Own or owner like possession of house and lot,  1.880 ,  1.866 ,  10 ,  -   ,  1 ,  3 ,  -   ,  -   
