,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
2012,CITY OF SANTIAGO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,24.0,24.0,82.0,3.42,1.0,3.42,2015
2013,CITY OF SANTIAGO,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,4.0,4.0,22.0,5.5,1.0,5.5,2015
2014,CITY OF SANTIAGO,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2015,CITY OF SANTIAGO,REGION II (Cagayan Valley),Not Reported, QUIRINO,8.0,8.0,41.0,5.13,1.0,5.13,2015
2016,SANTO TOMAS,REGION II (Cagayan Valley),Single house, QUIRINO,4585.0,4659.0,21704.0,4.66,1.02,4.73,2015
2017,SANTO TOMAS,REGION II (Cagayan Valley),Duplex, QUIRINO,258.0,261.0,1052.0,4.03,1.01,4.08,2015
2018,SANTO TOMAS,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,53.0,53.0,199.0,3.75,1.0,3.75,2015
2019,SANTO TOMAS,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,7.0,7.0,26.0,3.71,1.0,3.71,2015
2020,SANTO TOMAS,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2021,SANTO TOMAS,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2022,SANTO TOMAS,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
2023,TUMAUINI,REGION II (Cagayan Valley),Single house, QUIRINO,13268.0,13922.0,61355.0,4.41,1.05,4.62,2015
2024,TUMAUINI,REGION II (Cagayan Valley),Duplex, QUIRINO,1148.0,1169.0,4639.0,3.97,1.02,4.04,2015
2025,TUMAUINI,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,422.0,425.0,1484.0,3.49,1.01,3.52,2015
2026,TUMAUINI,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,20.0,20.0,77.0,3.85,1.0,3.85,2015
2027,TUMAUINI,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,1.0,1.0,6.0,6.0,1.0,6.0,2015
2028,TUMAUINI,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2029,TUMAUINI,REGION II (Cagayan Valley),Not Reported, QUIRINO,3.0,4.0,16.0,4.0,1.33,5.33,2015
2030,AMBAGUIO,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,3227.0,3228.0,14094.0,4.37,1.0,4.37,2015
2031,AMBAGUIO,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,234.0,234.0,903.0,3.86,1.0,3.86,2015
2032,AMBAGUIO,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,73.0,73.0,250.0,3.42,1.0,3.42,2015
2033,AMBAGUIO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,1.0,1.0,3.0,3.0,1.0,3.0,2015
2034,AMBAGUIO,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2035,AMBAGUIO,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2036,AMBAGUIO,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2037,ARITAO,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,8134.0,8191.0,35579.0,4.34,1.01,4.37,2015
2038,ARITAO,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,284.0,288.0,1313.0,4.56,1.01,4.62,2015
2039,ARITAO,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,73.0,73.0,283.0,3.88,1.0,3.88,2015
2040,ARITAO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,10.0,10.0,41.0,4.1,1.0,4.1,2015
2041,ARITAO,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2042,ARITAO,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2043,ARITAO,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2044,BAGABAG,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,8229.0,8365.0,33329.0,3.98,1.02,4.05,2015
2045,BAGABAG,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,412.0,414.0,1636.0,3.95,1.0,3.97,2015
2046,BAGABAG,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,126.0,127.0,491.0,3.87,1.01,3.9,2015
2047,BAGABAG,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,3.0,3.0,8.0,2.67,1.0,2.67,2015
2048,BAGABAG,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2049,BAGABAG,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2050,BAGABAG,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,1.0,1.0,3.0,3.0,1.0,3.0,2015
2051,BAMBANG,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,12041.0,12213.0,48951.0,4.01,1.01,4.07,2015
2052,BAMBANG,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,716.0,725.0,2671.0,3.68,1.01,3.73,2015
2053,BAMBANG,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,442.0,448.0,1439.0,3.21,1.01,3.26,2015
2054,BAMBANG,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,70.0,70.0,252.0,3.6,1.0,3.6,2015
2055,BAMBANG,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,3.0,3.0,12.0,4.0,1.0,4.0,2015
2056,BAMBANG,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2057,BAMBANG,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2058,BAYOMBONG (Capital),REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,13379.0,13791.0,54770.0,3.97,1.03,4.09,2015
2059,BAYOMBONG (Capital),REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,1044.0,1099.0,3932.0,3.58,1.05,3.77,2015
2060,BAYOMBONG (Capital),REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,759.0,859.0,2393.0,2.79,1.13,3.15,2015
2061,BAYOMBONG (Capital),REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,12.0,12.0,31.0,2.58,1.0,2.58,2015
2062,BAYOMBONG (Capital),REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2063,BAYOMBONG (Capital),REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2064,BAYOMBONG (Capital),REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2065,DIADI,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,4266.0,4302.0,17564.0,4.08,1.01,4.12,2015
2066,DIADI,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,124.0,126.0,486.0,3.86,1.02,3.92,2015
2067,DIADI,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,12.0,12.0,56.0,4.67,1.0,4.67,2015
2068,DIADI,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,1.0,1.0,5.0,5.0,1.0,5.0,2015
2069,DIADI,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2070,DIADI,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2071,DIADI,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2072,DUPAX DEL NORTE,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,6320.0,6369.0,26430.0,4.15,1.01,4.18,2015
2073,DUPAX DEL NORTE,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,186.0,186.0,714.0,3.84,1.0,3.84,2015
2074,DUPAX DEL NORTE,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,56.0,56.0,204.0,3.64,1.0,3.64,2015
2075,DUPAX DEL NORTE,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,35.0,35.0,155.0,4.43,1.0,4.43,2015
2076,DUPAX DEL NORTE,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2077,DUPAX DEL NORTE,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2078,DUPAX DEL NORTE,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2079,DUPAX DEL SUR,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,4380.0,4383.0,18532.0,4.23,1.0,4.23,2015
2080,DUPAX DEL SUR,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,110.0,110.0,432.0,3.93,1.0,3.93,2015
2081,DUPAX DEL SUR,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,33.0,33.0,115.0,3.48,1.0,3.48,2015
2082,DUPAX DEL SUR,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,2.0,2.0,7.0,3.5,1.0,3.5,2015
2083,DUPAX DEL SUR,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2084,DUPAX DEL SUR,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,1.0,1.0,6.0,6.0,1.0,6.0,2015
2085,DUPAX DEL SUR,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,2.0,2.0,11.0,5.5,1.0,5.5,2015
2086,KASIBU,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,8172.0,8203.0,36664.0,4.47,1.0,4.49,2015
2087,KASIBU,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,190.0,191.0,754.0,3.95,1.01,3.97,2015
2088,KASIBU,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,46.0,47.0,158.0,3.36,1.02,3.43,2015
2089,KASIBU,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,7.0,7.0,30.0,4.29,1.0,4.29,2015
2090,KASIBU,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2091,KASIBU,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2092,KASIBU,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2093,KAYAPA,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,5413.0,5441.0,23264.0,4.28,1.01,4.3,2015
2094,KAYAPA,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,94.0,94.0,372.0,3.96,1.0,3.96,2015
2095,KAYAPA,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,9.0,9.0,43.0,4.78,1.0,4.78,2015
2096,KAYAPA,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,,,,,,,2015
2097,KAYAPA,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2098,KAYAPA,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2099,KAYAPA,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2100,QUEZON,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,4792.0,4866.0,20507.0,4.21,1.02,4.28,2015
2101,QUEZON,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,88.0,88.0,334.0,3.8,1.0,3.8,2015
2102,QUEZON,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,36.0,36.0,123.0,3.42,1.0,3.42,2015
2103,QUEZON,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,,,,,,,2015
2104,QUEZON,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,1.0,1.0,3.0,3.0,1.0,3.0,2015
2105,QUEZON,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2106,QUEZON,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2107,SANTA FE,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,3562.0,3598.0,15539.0,4.32,1.01,4.36,2015
2108,SANTA FE,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,112.0,113.0,423.0,3.74,1.01,3.78,2015
2109,SANTA FE,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,40.0,40.0,142.0,3.55,1.0,3.55,2015
2110,SANTA FE,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,7.0,7.0,26.0,3.71,1.0,3.71,2015
2111,SANTA FE,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2112,SANTA FE,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2113,SANTA FE,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2114,SOLANO,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,12545.0,13721.0,49613.0,3.62,1.09,3.95,2015
2115,SOLANO,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,1316.0,1363.0,4741.0,3.48,1.04,3.6,2015
2116,SOLANO,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,1329.0,1378.0,4670.0,3.39,1.04,3.51,2015
2117,SOLANO,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,43.0,48.0,156.0,3.25,1.12,3.63,2015
2118,SOLANO,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,2.0,2.0,4.0,2.0,1.0,2.0,2015
2119,SOLANO,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2120,SOLANO,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,1.0,2.0,7.0,3.5,2.0,7.0,2015
2121,VILLAVERDE,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,4253.0,4266.0,17766.0,4.16,1.0,4.18,2015
2122,VILLAVERDE,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,156.0,156.0,620.0,3.97,1.0,3.97,2015
2123,VILLAVERDE,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,29.0,29.0,117.0,4.03,1.0,4.03,2015
2124,VILLAVERDE,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,1.0,1.0,4.0,4.0,1.0,4.0,2015
2125,VILLAVERDE,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2126,VILLAVERDE,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2127,VILLAVERDE,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2128,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Single house, NUEVA VIZCAYA,1658.0,1661.0,7450.0,4.49,1.0,4.49,2015
2129,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Duplex, NUEVA VIZCAYA,68.0,68.0,268.0,3.94,1.0,3.94,2015
2130,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Multi-unit residential, NUEVA VIZCAYA,53.0,54.0,209.0,3.87,1.02,3.94,2015
2131,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Commercial/industrial/agricultural, NUEVA VIZCAYA,4.0,4.0,13.0,3.25,1.0,3.25,2015
2132,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Institutional living quarter, NUEVA VIZCAYA,,,,,,,2015
2133,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Others, NUEVA VIZCAYA,,,,,,,2015
2134,ALFONSO CASTANEDA,REGION II (Cagayan Valley),Not Reported, NUEVA VIZCAYA,,,,,,,2015
2135,AGLIPAY,REGION II (Cagayan Valley),Single house, QUIRINO,6316.0,6352.0,26889.0,4.23,1.01,4.26,2015
2136,AGLIPAY,REGION II (Cagayan Valley),Duplex, QUIRINO,167.0,167.0,660.0,3.95,1.0,3.95,2015
2137,AGLIPAY,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,27.0,27.0,104.0,3.85,1.0,3.85,2015
2138,AGLIPAY,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,29.0,29.0,110.0,3.79,1.0,3.79,2015
2139,AGLIPAY,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2140,AGLIPAY,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2141,AGLIPAY,REGION II (Cagayan Valley),Not Reported, QUIRINO,1.0,2.0,11.0,5.5,2.0,11.0,2015
2142,CABARROGUIS (Capital),REGION II (Cagayan Valley),Single house, QUIRINO,6531.0,6557.0,29308.0,4.47,1.0,4.49,2015
2143,CABARROGUIS (Capital),REGION II (Cagayan Valley),Duplex, QUIRINO,209.0,210.0,866.0,4.12,1.0,4.14,2015
2144,CABARROGUIS (Capital),REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,76.0,76.0,264.0,3.47,1.0,3.47,2015
2145,CABARROGUIS (Capital),REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,5.0,5.0,17.0,3.4,1.0,3.4,2015
2146,CABARROGUIS (Capital),REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,1.0,1.0,4.0,4.0,1.0,4.0,2015
2147,CABARROGUIS (Capital),REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2148,CABARROGUIS (Capital),REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
2149,DIFFUN,REGION II (Cagayan Valley),Single house, QUIRINO,11767.0,11956.0,51238.0,4.29,1.02,4.35,2015
2150,DIFFUN,REGION II (Cagayan Valley),Duplex, QUIRINO,237.0,240.0,936.0,3.9,1.01,3.95,2015
2151,DIFFUN,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,67.0,71.0,245.0,3.45,1.06,3.66,2015
2152,DIFFUN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,15.0,15.0,46.0,3.07,1.0,3.07,2015
2153,DIFFUN,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2154,DIFFUN,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2155,DIFFUN,REGION II (Cagayan Valley),Not Reported, QUIRINO,1.0,1.0,6.0,6.0,1.0,6.0,2015
2156,MADDELA,REGION II (Cagayan Valley),Single house, QUIRINO,8369.0,8440.0,36607.0,4.34,1.01,4.37,2015
2157,MADDELA,REGION II (Cagayan Valley),Duplex, QUIRINO,330.0,331.0,1316.0,3.98,1.0,3.99,2015
2158,MADDELA,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,129.0,129.0,488.0,3.78,1.0,3.78,2015
2159,MADDELA,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,12.0,12.0,51.0,4.25,1.0,4.25,2015
2160,MADDELA,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,1.0,1.0,2.0,2.0,1.0,2.0,2015
2161,MADDELA,REGION II (Cagayan Valley),Others, QUIRINO,1.0,1.0,2.0,2.0,1.0,2.0,2015
2162,MADDELA,REGION II (Cagayan Valley),Not Reported, QUIRINO,,,,,,,2015
2163,SAGUDAY,REGION II (Cagayan Valley),Single house, QUIRINO,3799.0,3805.0,15442.0,4.06,1.0,4.06,2015
2164,SAGUDAY,REGION II (Cagayan Valley),Duplex, QUIRINO,130.0,130.0,464.0,3.57,1.0,3.57,2015
2165,SAGUDAY,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,48.0,48.0,159.0,3.31,1.0,3.31,2015
2166,SAGUDAY,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,1.0,1.0,3.0,3.0,1.0,3.0,2015
2167,SAGUDAY,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2168,SAGUDAY,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2169,SAGUDAY,REGION II (Cagayan Valley),Not Reported, QUIRINO,1.0,1.0,2.0,2.0,1.0,2.0,2015
2170,NAGTIPUNAN,REGION II (Cagayan Valley),Single house, QUIRINO,4632.0,4639.0,22413.0,4.83,1.0,4.84,2015
2171,NAGTIPUNAN,REGION II (Cagayan Valley),Duplex, QUIRINO,197.0,197.0,810.0,4.11,1.0,4.11,2015
2172,NAGTIPUNAN,REGION II (Cagayan Valley),Multi-unit residential, QUIRINO,52.0,52.0,224.0,4.31,1.0,4.31,2015
2173,NAGTIPUNAN,REGION II (Cagayan Valley),Commercial/industrial/agricultural, QUIRINO,9.0,9.0,31.0,3.44,1.0,3.44,2015
2174,NAGTIPUNAN,REGION II (Cagayan Valley),Institutional living quarter, QUIRINO,,,,,,,2015
2175,NAGTIPUNAN,REGION II (Cagayan Valley),Others, QUIRINO,,,,,,,2015
2176,NAGTIPUNAN,REGION II (Cagayan Valley),Not Reported, QUIRINO,1.0,1.0,6.0,6.0,1.0,6.0,2015
2177,BALER,REGION III (Central Luzon),Single house, AURORA,7735.0,7812.0,35385.0,4.53,1.01,4.57,2015
2178,BALER,REGION III (Central Luzon),Duplex, AURORA,553.0,556.0,2239.0,4.03,1.01,4.05,2015
2179,BALER,REGION III (Central Luzon),Multi-unit residential, AURORA,448.0,450.0,1440.0,3.2,1.0,3.21,2015
2180,BALER,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,19.0,19.0,65.0,3.42,1.0,3.42,2015
2181,BALER,REGION III (Central Luzon),Institutional living quarter, AURORA,,,,,,,2015
2182,BALER,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2183,BALER,REGION III (Central Luzon),Not Reported, AURORA,5.0,5.0,19.0,3.8,1.0,3.8,2015
2184,CASIGURAN,REGION III (Central Luzon),Single house, AURORA,5527.0,5561.0,23671.0,4.26,1.01,4.28,2015
2185,CASIGURAN,REGION III (Central Luzon),Duplex, AURORA,124.0,127.0,502.0,3.95,1.02,4.05,2015
2186,CASIGURAN,REGION III (Central Luzon),Multi-unit residential, AURORA,22.0,22.0,92.0,4.18,1.0,4.18,2015
2187,CASIGURAN,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,8.0,8.0,21.0,2.63,1.0,2.63,2015
2188,CASIGURAN,REGION III (Central Luzon),Institutional living quarter, AURORA,2.0,2.0,7.0,3.5,1.0,3.5,2015
2189,CASIGURAN,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2190,CASIGURAN,REGION III (Central Luzon),Not Reported, AURORA,1.0,1.0,4.0,4.0,1.0,4.0,2015
2191,DILASAG,REGION III (Central Luzon),Single house, AURORA,3745.0,3834.0,15392.0,4.01,1.02,4.11,2015
2192,DILASAG,REGION III (Central Luzon),Duplex, AURORA,106.0,106.0,397.0,3.75,1.0,3.75,2015
2193,DILASAG,REGION III (Central Luzon),Multi-unit residential, AURORA,8.0,8.0,35.0,4.38,1.0,4.38,2015
2194,DILASAG,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,1.0,1.0,5.0,5.0,1.0,5.0,2015
2195,DILASAG,REGION III (Central Luzon),Institutional living quarter, AURORA,,,,,,,2015
2196,DILASAG,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2197,DILASAG,REGION III (Central Luzon),Not Reported, AURORA,,,,,,,2015
2198,DINALUNGAN,REGION III (Central Luzon),Single house, AURORA,2530.0,2532.0,10798.0,4.26,1.0,4.27,2015
2199,DINALUNGAN,REGION III (Central Luzon),Duplex, AURORA,84.0,84.0,308.0,3.67,1.0,3.67,2015
2200,DINALUNGAN,REGION III (Central Luzon),Multi-unit residential, AURORA,24.0,24.0,88.0,3.67,1.0,3.67,2015
2201,DINALUNGAN,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,5.0,5.0,20.0,4.0,1.0,4.0,2015
2202,DINALUNGAN,REGION III (Central Luzon),Institutional living quarter, AURORA,,,,,,,2015
2203,DINALUNGAN,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2204,DINALUNGAN,REGION III (Central Luzon),Not Reported, AURORA,15.0,16.0,72.0,4.5,1.07,4.8,2015
2205,DINGALAN,REGION III (Central Luzon),Single house, AURORA,5241.0,5261.0,23563.0,4.48,1.0,4.5,2015
2206,DINGALAN,REGION III (Central Luzon),Duplex, AURORA,313.0,313.0,1319.0,4.21,1.0,4.21,2015
2207,DINGALAN,REGION III (Central Luzon),Multi-unit residential, AURORA,143.0,143.0,542.0,3.79,1.0,3.79,2015
2208,DINGALAN,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,3.0,3.0,7.0,2.33,1.0,2.33,2015
2209,DINGALAN,REGION III (Central Luzon),Institutional living quarter, AURORA,1.0,1.0,3.0,3.0,1.0,3.0,2015
2210,DINGALAN,REGION III (Central Luzon),Others, AURORA,5.0,5.0,7.0,1.4,1.0,1.4,2015
2211,DINGALAN,REGION III (Central Luzon),Not Reported, AURORA,,,,,,,2015
2212,DIPACULAO,REGION III (Central Luzon),Single house, AURORA,6610.0,6635.0,28081.0,4.23,1.0,4.25,2015
2213,DIPACULAO,REGION III (Central Luzon),Duplex, AURORA,340.0,342.0,1369.0,4.0,1.01,4.03,2015
2214,DIPACULAO,REGION III (Central Luzon),Multi-unit residential, AURORA,74.0,74.0,264.0,3.57,1.0,3.57,2015
2215,DIPACULAO,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,,,,,,,2015
2216,DIPACULAO,REGION III (Central Luzon),Institutional living quarter, AURORA,,,,,,,2015
2217,DIPACULAO,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2218,DIPACULAO,REGION III (Central Luzon),Not Reported, AURORA,,,,,,,2015
2219,MARIA AURORA,REGION III (Central Luzon),Single house, AURORA,9119.0,9177.0,39734.0,4.33,1.01,4.36,2015
2220,MARIA AURORA,REGION III (Central Luzon),Duplex, AURORA,178.0,178.0,697.0,3.92,1.0,3.92,2015
2221,MARIA AURORA,REGION III (Central Luzon),Multi-unit residential, AURORA,37.0,37.0,138.0,3.73,1.0,3.73,2015
2222,MARIA AURORA,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,11.0,11.0,53.0,4.82,1.0,4.82,2015
2223,MARIA AURORA,REGION III (Central Luzon),Institutional living quarter, AURORA,1.0,1.0,1.0,1.0,1.0,1.0,2015
2224,MARIA AURORA,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2225,MARIA AURORA,REGION III (Central Luzon),Not Reported, AURORA,1.0,1.0,3.0,3.0,1.0,3.0,2015
2226,SAN LUIS,REGION III (Central Luzon),Single house, AURORA,5794.0,5820.0,26335.0,4.52,1.0,4.55,2015
2227,SAN LUIS,REGION III (Central Luzon),Duplex, AURORA,181.0,183.0,774.0,4.23,1.01,4.28,2015
2228,SAN LUIS,REGION III (Central Luzon),Multi-unit residential, AURORA,51.0,51.0,231.0,4.53,1.0,4.53,2015
2229,SAN LUIS,REGION III (Central Luzon),Commercial/industrial/agricultural, AURORA,1.0,1.0,2.0,2.0,1.0,2.0,2015
2230,SAN LUIS,REGION III (Central Luzon),Institutional living quarter, AURORA,,,,,,,2015
2231,SAN LUIS,REGION III (Central Luzon),Others, AURORA,,,,,,,2015
2232,SAN LUIS,REGION III (Central Luzon),Not Reported, AURORA,,,,,,,2015
