Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Others,  35 ,  36 ,  203 ,"  5,64 ","  1,03 ","  5,80 ",,,,,,,,,,,,
Not Reported,  67 ,  70 ,  257 ,"  3,67 ","  1,04 ","  3,84 ",,,,,,,,,,,,
 CITY OF MARIKINA,,,,,,,,,,,,,,,,,,
Total,  95.305 ,  98.238 ,  448.893 ,"  4,57 ","  1,03 ","  4,71 ",,,,,,,,,,,,
Single house,  53.339 ,  55.478 ,  265.359 ,"  4,78 ","  1,04 ","  4,97 ",,,,,,,,,,,,
Duplex,  14.635 ,  14.970 ,  66.486 ,"  4,44 ","  1,02 ","  4,54 ",,,,,,,,,,,,
Multi-unit residential,  27.025 ,  27.385 ,  115.843 ,"  4,23 ","  1,01 ","  4,29 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  212 ,  311 ,  816 ,"  2,62 ","  1,47 ","  3,85 ",,,,,,,,,,,,
Institutional living quarter,  24 ,  24 ,  87 ,"  3,63 ","  1,00 ","  3,63 ",,,,,,,,,,,,
Others,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  68 ,  68 ,  298 ,"  4,38 ","  1,00 ","  4,38 ",,,,,,,,,,,,
 CITY OF PASIG,,,,,,,,,,,,,,,,,,
Total,  175.280 ,  180.612 ,  753.030 ,"  4,17 ","  1,03 ","  4,30 ",,,,,,,,,,,,
Single house,  78.377 ,  81.417 ,  379.350 ,"  4,66 ","  1,04 ","  4,84 ",,,,,,,,,,,,
Duplex,  25.280 ,  26.026 ,  106.243 ,"  4,08 ","  1,03 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  70.960 ,  72.476 ,  264.939 ,"  3,66 ","  1,02 ","  3,73 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  508 ,  536 ,  1.888 ,"  3,52 ","  1,06 ","  3,72 ",,,,,,,,,,,,
Institutional living quarter,  15 ,  15 ,  80 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
Others,  33 ,  33 ,  153 ,"  4,64 ","  1,00 ","  4,64 ",,,,,,,,,,,,
Not Reported,  107 ,  109 ,  377 ,"  3,46 ","  1,02 ","  3,52 ",,,,,,,,,,,,
 QUEZON CITY,,,,,,,,,,,,,,,,,,
Total,  660.249 ,  683.044 ,  2.919.320 ,"  4,27 ","  1,03 ","  4,42 ",,,,,,,,,,,,
Single house,  332.729 ,  344.812 ,  1.643.132 ,"  4,77 ","  1,04 ","  4,94 ",,,,,,,,,,,,
Duplex,  100.028 ,  103.517 ,  416.908 ,"  4,03 ","  1,03 ","  4,17 ",,,,,,,,,,,,
Multi-unit residential,  223.917 ,  230.832 ,  845.689 ,"  3,66 ","  1,03 ","  3,78 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2.371 ,  2.631 ,  8.513 ,"  3,24 ","  1,11 ","  3,59 ",,,,,,,,,,,,
Institutional living quarter,  142 ,  149 ,  556 ,"  3,73 ","  1,05 ","  3,92 ",,,,,,,,,,,,
Others,  179 ,  182 ,  704 ,"  3,87 ","  1,02 ","  3,93 ",,,,,,,,,,,,
Not Reported,  883 ,  921 ,  3.818 ,"  4,15 ","  1,04 ","  4,32 ",,,,,,,,,,,,
 CITY OF SAN JUAN,,,,,,,,,,,,,,,,,,
Total,  26.768 ,  28.623 ,  120.815 ,"  4,22 ","  1,07 ","  4,51 ",,,,,,,,,,,,
Single house,  8.219 ,  8.808 ,  45.667 ,"  5,18 ","  1,07 ","  5,56 ",,,,,,,,,,,,
Duplex,  3.052 ,  3.303 ,  13.788 ,"  4,17 ","  1,08 ","  4,52 ",,,,,,,,,,,,
Multi-unit residential,  15.364 ,  16.327 ,  60.908 ,"  3,73 ","  1,06 ","  3,96 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  113 ,  161 ,  382 ,"  2,37 ","  1,42 ","  3,38 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Others,  3 ,  3 ,  4 ,"  1,33 ","  1,00 ","  1,33 ",,,,,,,,,,,,
Not Reported,  16 ,  20 ,  65 ,"  3,25 ","  1,25 ","  4,06 ",,,,,,,,,,,,
 CALOOCAN CITY,,,,,,,,,,,,,,,,,,
Total,  353.357 ,  367.878 ,  1.581.025 ,"  4,30 ","  1,04 ","  4,47 ",,,,,,,,,,,,
Single house,  191.800 ,  201.425 ,  909.032 ,"  4,51 ","  1,05 ","  4,74 ",,,,,,,,,,,,
Duplex,  48.828 ,  50.634 ,  213.232 ,"  4,21 ","  1,04 ","  4,37 ",,,,,,,,,,,,
Multi-unit residential,  111.286 ,  114.300 ,  453.470 ,"  3,97 ","  1,03 ","  4,07 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1.142 ,  1.211 ,  4.000 ,"  3,30 ","  1,06 ","  3,50 ",,,,,,,,,,,,
Institutional living quarter,  34 ,  36 ,  131 ,"  3,64 ","  1,06 ","  3,85 ",,,,,,,,,,,,
Others,  34 ,  34 ,  114 ,"  3,35 ","  1,00 ","  3,35 ",,,,,,,,,,,,
Not Reported,  233 ,  238 ,  1.046 ,"  4,39 ","  1,02 ","  4,49 ",,,,,,,,,,,,
 CITY OF MALABON,,,,,,,,,,,,,,,,,,
Total,  81.724 ,  86.191 ,  364.283 ,"  4,23 ","  1,05 ","  4,46 ",,,,,,,,,,,,
Single house,  43.931 ,  47.190 ,  206.867 ,"  4,38 ","  1,07 ","  4,71 ",,,,,,,,,,,,
Duplex,  12.670 ,  13.167 ,  54.382 ,"  4,13 ","  1,04 ","  4,29 ",,,,,,,,,,,,
Multi-unit residential,  24.823 ,  25.509 ,  101.933 ,"  4,00 ","  1,03 ","  4,11 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  230 ,  255 ,  817 ,"  3,20 ","  1,11 ","  3,55 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  7 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Others,  13 ,  13 ,  52 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Not Reported,  55 ,  55 ,  225 ,"  4,09 ","  1,00 ","  4,09 ",,,,,,,,,,,,
 CITY OF NAVOTAS,,,,,,,,,,,,,,,,,,
Total,  56.260 ,  60.904 ,  249.176 ,"  4,09 ","  1,08 ","  4,43 ",,,,,,,,,,,,
Single house,  24.553 ,  27.562 ,  118.609 ,"  4,30 ","  1,12 ","  4,83 ",,,,,,,,,,,,
Duplex,  10.508 ,  11.157 ,  44.715 ,"  4,01 ","  1,06 ","  4,26 ",,,,,,,,,,,,
Multi-unit residential,  20.821 ,  21.786 ,  84.431 ,"  3,88 ","  1,05 ","  4,06 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  190 ,  196 ,  691 ,"  3,53 ","  1,03 ","  3,64 ",,,,,,,,,,,,
Institutional living quarter,  8 ,  8 ,  37 ,"  4,63 ","  1,00 ","  4,63 ",,,,,,,,,,,,
Others,  79 ,  81 ,  294 ,"  3,63 ","  1,03 ","  3,72 ",,,,,,,,,,,,
Not Reported,  101 ,  114 ,  399 ,"  3,50 ","  1,13 ","  3,95 ",,,,,,,,,,,,
 CITY OF VALENZUELA,,,,,,,,,,,,,,,,,,
Total,  147.161 ,  153.041 ,  619.324 ,"  4,05 ","  1,04 ","  4,21 ",,,,,,,,,,,,
Single house,  64.804 ,  67.998 ,  292.673 ,"  4,30 ","  1,05 ","  4,52 ",,,,,,,,,,,,
Duplex,  18.948 ,  19.671 ,  79.120 ,"  4,02 ","  1,04 ","  4,18 ",,,,,,,,,,,,
Multi-unit residential,  62.514 ,  64.376 ,  244.388 ,"  3,80 ","  1,03 ","  3,91 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  812 ,  910 ,  2.798 ,"  3,07 ","  1,12 ","  3,45 ",,,,,,,,,,,,
Institutional living quarter,  9 ,  9 ,  34 ,"  3,78 ","  1,00 ","  3,78 ",,,,,,,,,,,,
Others,  5 ,  5 ,  26 ,"  5,20 ","  1,00 ","  5,20 ",,,,,,,,,,,,
Not Reported,  69 ,  72 ,  285 ,"  3,96 ","  1,04 ","  4,13 ",,,,,,,,,,,,
 CITY OF LAS PIÑAS,,,,,,,,,,,,,,,,,,
Total,  137.897 ,  141.925 ,  587.675 ,"  4,14 ","  1,03 ","  4,26 ",,,,,,,,,,,,
Single house,  85.771 ,  88.464 ,  385.521 ,"  4,36 ","  1,03 ","  4,49 ",,,,,,,,,,,,
Duplex,  17.515 ,  18.014 ,  72.862 ,"  4,04 ","  1,03 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  34.061 ,  34.885 ,  127.224 ,"  3,65 ","  1,02 ","  3,74 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  266 ,  274 ,  952 ,"  3,47 ","  1,03 ","  3,58 ",,,,,,,,,,,,
Institutional living quarter,  11 ,  11 ,  71 ,"  6,45 ","  1,00 ","  6,45 ",,,,,,,,,,,,
Others,  111 ,  113 ,  389 ,"  3,44 ","  1,02 ","  3,50 ",,,,,,,,,,,,
Not Reported,  162 ,  164 ,  656 ,"  4,00 ","  1,01 ","  4,05 ",,,,,,,,,,,,
 CITY OF MAKATI,,,,,,,,,,,,,,,,,,
Total,  148.430 ,  154.095 ,  579.433 ,"  3,76 ","  1,04 ","  3,90 ",,,,,,,,,,,,
Single house,  48.866 ,  50.295 ,  236.875 ,"  4,71 ","  1,03 ","  4,85 ",,,,,,,,,,,,
Duplex,  14.444 ,  14.976 ,  57.019 ,"  3,81 ","  1,04 ","  3,95 ",,,,,,,,,,,,
Multi-unit residential,  84.171 ,  87.851 ,  282.274 ,"  3,21 ","  1,04 ","  3,35 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  721 ,  742 ,  2.367 ,"  3,19 ","  1,03 ","  3,28 ",,,,,,,,,,,,
Institutional living quarter,  14 ,  14 ,  56 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  62 ,  65 ,  239 ,"  3,68 ","  1,05 ","  3,85 ",,,,,,,,,,,,
Not Reported,  152 ,  152 ,  603 ,"  3,97 ","  1,00 ","  3,97 ",,,,,,,,,,,,
 CITY OF MUNTINLUPA,,,,,,,,,,,,,,,,,,
Total,  115.515 ,  122.286 ,  481.762 ,"  3,94 ","  1,06 ","  4,17 ",,,,,,,,,,,,
Single house,  62.427 ,  66.131 ,  278.427 ,"  4,21 ","  1,06 ","  4,46 ",,,,,,,,,,,,
Duplex,  13.859 ,  14.549 ,  54.666 ,"  3,76 ","  1,05 ","  3,94 ",,,,,,,,,,,,
Multi-unit residential,  38.771 ,  41.100 ,  146.970 ,"  3,58 ","  1,06 ","  3,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  98 ,  108 ,  371 ,"  3,44 ","  1,10 ","  3,79 ",,,,,,,,,,,,
Institutional living quarter,  23 ,  23 ,  88 ,"  3,83 ","  1,00 ","  3,83 ",,,,,,,,,,,,
Others,  91 ,  100 ,  325 ,"  3,25 ","  1,10 ","  3,57 ",,,,,,,,,,,,
Not Reported,  246 ,  275 ,  915 ,"  3,33 ","  1,12 ","  3,72 ",,,,,,,,,,,,
 CITY OF PARAÑAQUE,,,,,,,,,,,,,,,,,,
Total,  159.587 ,  163.074 ,  663.733 ,"  4,07 ","  1,02 ","  4,16 ",,,,,,,,,,,,
Single house,  89.690 ,  91.793 ,  411.094 ,"  4,48 ","  1,02 ","  4,58 ",,,,,,,,,,,,
Duplex,  18.446 ,  18.899 ,  75.917 ,"  4,02 ","  1,02 ","  4,12 ",,,,,,,,,,,,
Multi-unit residential,  50.874 ,  51.799 ,  174.453 ,"  3,37 ","  1,02 ","  3,43 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  316 ,  320 ,  1.188 ,"  3,71 ","  1,01 ","  3,76 ",,,,,,,,,,,,
Institutional living quarter,  22 ,  22 ,  77 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Others,  109 ,  109 ,  424 ,"  3,89 ","  1,00 ","  3,89 ",,,,,,,,,,,,
Not Reported,  130 ,  132 ,  580 ,"  4,39 ","  1,02 ","  4,46 ",,,,,,,,,,,,
 PASAY CITY,,,,,,,,,,,,,,,,,,
Total,  101.557 ,  107.619 ,  412.497 ,"  3,83 ","  1,06 ","  4,06 ",,,,,,,,,,,,
Single house,  27.795 ,  29.623 ,  136.354 ,"  4,60 ","  1,07 ","  4,91 ",,,,,,,,,,,,
Duplex,  13.174 ,  14.071 ,  54.018 ,"  3,84 ","  1,07 ","  4,10 ",,,,,,,,,,,,
Multi-unit residential,  59.850 ,  63.122 ,  219.314 ,"  3,47 ","  1,05 ","  3,66 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  441 ,  500 ,  1.661 ,"  3,32 ","  1,13 ","  3,77 ",,,,,,,,,,,,
Institutional living quarter,  17 ,  17 ,  69 ,"  4,06 ","  1,00 ","  4,06 ",,,,,,,,,,,,
Others,  194 ,  195 ,  750 ,"  3,85 ","  1,01 ","  3,87 ",,,,,,,,,,,,
Not Reported,  86 ,  91 ,  331 ,"  3,64 ","  1,06 ","  3,85 ",,,,,,,,,,,,
 PATEROS,,,,,,,,,,,,,,,,,,
Total,  13.393 ,  14.188 ,  63.643 ,"  4,49 ","  1,06 ","  4,75 ",,,,,,,,,,,,
Single house,  6.819 ,  7.385 ,  34.535 ,"  4,68 ","  1,08 ","  5,06 ",,,,,,,,,,,,
Duplex,  2.046 ,  2.160 ,  9.530 ,"  4,41 ","  1,06 ","  4,66 ",,,,,,,,,,,,
Multi-unit residential,  4.511 ,  4.626 ,  19.513 ,"  4,22 ","  1,03 ","  4,33 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  9 ,  9 ,  36 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  8 ,  8 ,  29 ,"  3,63 ","  1,00 ","  3,63 ",,,,,,,,,,,,
 TAGUIG CITY,,,,,,,,,,,,,,,,,,
Total,  192.862 ,  198.256 ,  801.143 ,"  4,04 ","  1,03 ","  4,15 ",,,,,,,,,,,,
Single house,  71.508 ,  74.237 ,  329.607 ,"  4,44 ","  1,04 ","  4,61 ",,,,,,,,,,,,
Duplex,  28.731 ,  29.532 ,  120.222 ,"  4,07 ","  1,03 ","  4,18 ",,,,,,,,,,,,
Multi-unit residential,  92.170 ,  94.007 ,  349.744 ,"  3,72 ","  1,02 ","  3,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  254 ,  265 ,  792 ,"  2,99 ","  1,04 ","  3,12 ",,,,,,,,,,,,
Institutional living quarter,  14 ,  16 ,  45 ,"  2,81 ","  1,14 ","  3,21 ",,,,,,,,,,,,
Others,  24 ,  24 ,  79 ,"  3,29 ","  1,00 ","  3,29 ",,,,,,,,,,,,
Not Reported,  161 ,  175 ,  654 ,"  3,74 ","  1,09 ","  4,06 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION,,,,,,,,,,,,,,,,,,
Total,  390.923 ,  395.748 ,  1.713.625 ,"  4,33 ","  1,01 ","  4,38 ",,,,,,,,,,,,
Single house,  296.491 ,  298.914 ,  1.365.650 ,"  4,57 ","  1,01 ","  4,61 ",,,,,,,,,,,,
Duplex,  30.170 ,  30.749 ,  123.684 ,"  4,02 ","  1,02 ","  4,10 ",,,,,,,,,,,,
Multi-unit residential,  62.644 ,  64.401 ,  218.689 ,"  3,40 ","  1,03 ","  3,49 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1.424 ,  1.486 ,  4.892 ,"  3,29 ","  1,04 ","  3,44 ",,,,,,,,,,,,
Institutional living quarter,  49 ,  49 ,  155 ,"  3,16 ","  1,00 ","  3,16 ",,,,,,,,,,,,
Others,  3 ,  3 ,  10 ,"  3,33 ","  1,00 ","  3,33 ",,,,,,,,,,,,
Not Reported,  142 ,  146 ,  545 ,"  3,73 ","  1,03 ","  3,84 ",,,,,,,,,,,,
 ABRA,,,,,,,,,,,,,,,,,,
Total,  51.593 ,  52.929 ,  239.638 ,"  4,53 ","  1,03 ","  4,64 ",,,,,,,,,,,,
Single house,  47.747 ,  49.010 ,  223.807 ,"  4,57 ","  1,03 ","  4,69 ",,,,,,,,,,,,
Duplex,  2.768 ,  2.823 ,  11.912 ,"  4,22 ","  1,02 ","  4,30 ",,,,,,,,,,,,
Multi-unit residential,  995 ,  1.011 ,  3.569 ,"  3,53 ","  1,02 ","  3,59 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  42 ,  42 ,  175 ,"  4,17 ","  1,00 ","  4,17 ",,,,,,,,,,,,
Institutional living quarter,  4 ,  4 ,  14 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Others,  2 ,  2 ,  9 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Not Reported,  35 ,  37 ,  152 ,"  4,11 ","  1,06 ","  4,34 ",,,,,,,,,,,,
 BANGUED (Capital),,,,,,,,,,,,,,,,,,
Total,  10.787 ,  11.024 ,  47.820 ,"  4,34 ","  1,02 ","  4,43 ",,,,,,,,,,,,
Single house,  9.048 ,  9.266 ,  41.134 ,"  4,44 ","  1,02 ","  4,55 ",,,,,,,,,,,,
Duplex,  992 ,  1.003 ,  4.092 ,"  4,08 ","  1,01 ","  4,13 ",,,,,,,,,,,,
Multi-unit residential,  717 ,  725 ,  2.467 ,"  3,40 ","  1,01 ","  3,44 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  22 ,  22 ,  94 ,"  4,27 ","  1,00 ","  4,27 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  7 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  26 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
 BOLINEY,,,,,,,,,,,,,,,,,,
Total,  758 ,  760 ,  3.540 ,"  4,66 ","  1,00 ","  4,67 ",,,,,,,,,,,,
Single house,  739 ,  741 ,  3.455 ,"  4,66 ","  1,00 ","  4,68 ",,,,,,,,,,,,
Duplex,  17 ,  17 ,  75 ,"  4,41 ","  1,00 ","  4,41 ",,,,,,,,,,,,
Multi-unit residential,  2 ,  2 ,  10 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BUCAY,,,,,,,,,,,,,,,,,,
Total,  3.813 ,  3.863 ,  17.079 ,"  4,42 ","  1,01 ","  4,48 ",,,,,,,,,,,,
Single house,  3.538 ,  3.585 ,  15.934 ,"  4,44 ","  1,01 ","  4,50 ",,,,,,,,,,,,
Duplex,  251 ,  254 ,  1.043 ,"  4,11 ","  1,01 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  17 ,  17 ,  61 ,"  3,59 ","  1,00 ","  3,59 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  14 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  5 ,  5 ,  27 ,"  5,40 ","  1,00 ","  5,40 ",,,,,,,,,,,,
 BUCLOC,,,,,,,,,,,,,,,,,,
Total,  435 ,  442 ,  2.501 ,"  5,66 ","  1,02 ","  5,75 ",,,,,,,,,,,,
Single house,  424 ,  431 ,  2.436 ,"  5,65 ","  1,02 ","  5,75 ",,,,,,,,,,,,
Duplex,  8 ,  8 ,  44 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
Multi-unit residential,  3 ,  3 ,  21 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 DAGUIOMAN,,,,,,,,,,,,,,,,,,
Total,  375 ,  375 ,  2.088 ,"  5,57 ","  1,00 ","  5,57 ",,,,,,,,,,,,
Single house,  360 ,  360 ,  2.028 ,"  5,63 ","  1,00 ","  5,63 ",,,,,,,,,,,,
Duplex,  15 ,  15 ,  60 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 DANGLAS,,,,,,,,,,,,,,,,,,
Total,  873 ,  910 ,  4.190 ,"  4,60 ","  1,04 ","  4,80 ",,,,,,,,,,,,
Single house,  832 ,  868 ,  4.038 ,"  4,65 ","  1,04 ","  4,85 ",,,,,,,,,,,,
Duplex,  41 ,  42 ,  152 ,"  3,62 ","  1,02 ","  3,71 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 DOLORES,,,,,,,,,,,,,,,,,,
Total,  2.484 ,  2.548 ,  11.301 ,"  4,44 ","  1,03 ","  4,55 ",,,,,,,,,,,,
Single house,  2.361 ,  2.424 ,  10.783 ,"  4,45 ","  1,03 ","  4,57 ",,,,,,,,,,,,
Duplex,  98 ,  99 ,  424 ,"  4,28 ","  1,01 ","  4,33 ",,,,,,,,,,,,
Multi-unit residential,  18 ,  18 ,  71 ,"  3,94 ","  1,00 ","  3,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  7 ,  7 ,  23 ,"  3,29 ","  1,00 ","  3,29 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LA PAZ,,,,,,,,,,,,,,,,,,
Total,  3.325 ,  3.442 ,  15.433 ,"  4,48 ","  1,04 ","  4,64 ",,,,,,,,,,,,
Single house,  3.103 ,  3.213 ,  14.425 ,"  4,49 ","  1,04 ","  4,65 ",,,,,,,,,,,,
Duplex,  179 ,  186 ,  837 ,"  4,50 ","  1,04 ","  4,68 ",,,,,,,,,,,,
Multi-unit residential,  42 ,  42 ,  168 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 LACUB,,,,,,,,,,,,,,,,,,
Total,  647 ,  647 ,  3.369 ,"  5,21 ","  1,00 ","  5,21 ",,,,,,,,,,,,
Single house,  611 ,  611 ,  3.177 ,"  5,20 ","  1,00 ","  5,20 ",,,,,,,,,,,,
Duplex,  34 ,  34 ,  180 ,"  5,29 ","  1,00 ","  5,29 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
