City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
CAOAYAN,  4.604 ,  732 ,  237 ,  148 ,  65 ,  1.129 ,  346 ,  5 ,  9 ,  20 ,  1 ,  1.911 ,  1 ,  -   ,,,,,,,,,,,,,,
CERVANTES,  3.682 ,  2.768 ,  205 ,  51 ,  85 ,  54 ,  -   ,  329 ,  38 ,  20 ,  5 ,  126 ,  1 ,  -   ,,,,,,,,,,,,,,
GALIMUYOD,  2.326 ,  554 ,  234 ,  104 ,  747 ,  14 ,  13 ,  63 ,  3 ,  -   ,  24 ,  570 ,  -   ,  -   ,,,,,,,,,,,,,,
GREGORIO DEL PILAR (CONCEPCION),  908 ,  827 ,  76 ,  -   ,  -   ,  3 ,  -   ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
LIDLIDDA,  1.004 ,  5 ,  -   ,  9 ,  305 ,  21 ,  -   ,  437 ,  19 ,  -   ,  -   ,  206 ,  2 ,  -   ,,,,,,,,,,,,,,
MAGSINGAL,  7.943 ,  360 ,  48 ,  347 ,  528 ,  3.281 ,  215 ,  51 ,  101 ,  5 ,  49 ,  2.958 ,  -   ,  -   ,,,,,,,,,,,,,,
NAGBUKEL,  1.182 ,  43 ,  3 ,  216 ,  350 ,  376 ,  2 ,  62 ,  1 ,  -   ,  -   ,  129 ,  -   ,  -   ,,,,,,,,,,,,,,
NARVACAN,  9.856 ,  561 ,  126 ,  1.436 ,  932 ,  3.684 ,  62 ,  234 ,  3 ,  1 ,  19 ,  2.797 ,  1 ,  -   ,,,,,,,,,,,,,,
QUIRINO (ANGKAKI),  1.830 ,  1.454 ,  186 ,  2 ,  4 ,  4 ,  3 ,  46 ,  129 ,  1 ,  -   ,  -   ,  1 ,  -   ,,,,,,,,,,,,,,
SALCEDO (BAUGEN),  2.683 ,  433 ,  978 ,  205 ,  255 ,  280 ,  13 ,  326 ,  30 ,  1 ,  -   ,  154 ,  8 ,  -   ,,,,,,,,,,,,,,
SAN EMILIO,  1.537 ,  151 ,  501 ,  2 ,  4 ,  -   ,  2 ,  122 ,  651 ,  7 ,  -   ,  97 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ESTEBAN,  2.001 ,  43 ,  60 ,  662 ,  331 ,  107 ,  4 ,  3 ,  -   ,  -   ,  -   ,  791 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ILDEFONSO,  1.760 ,  7 ,  -   ,  -   ,  19 ,  871 ,  -   ,  -   ,  -   ,  -   ,  -   ,  863 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN JUAN (LAPOG),  6.477 ,  745 ,  121 ,  269 ,  257 ,  2.227 ,  318 ,  69 ,  7 ,  -   ,  6 ,  2.458 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN VICENTE,  2.971 ,  20 ,  1 ,  9 ,  12 ,  720 ,  315 ,  -   ,  -   ,  -   ,  2 ,  1.892 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA,  3.509 ,  794 ,  218 ,  317 ,  762 ,  647 ,  14 ,  298 ,  -   ,  -   ,  163 ,  296 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA CATALINA,  2.844 ,  181 ,  72 ,  183 ,  169 ,  227 ,  223 ,  -   ,  -   ,  1 ,  1 ,  1.787 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA CRUZ,  8.982 ,  391 ,  642 ,  964 ,  931 ,  4.172 ,  43 ,  37 ,  2 ,  3 ,  1 ,  1.792 ,  4 ,  -   ,,,,,,,,,,,,,,
SANTA LUCIA,  5.930 ,  299 ,  62 ,  2.150 ,  1.490 ,  300 ,  16 ,  112 ,  -   ,  -   ,  131 ,  1.369 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTA MARIA,  6.944 ,  110 ,  6 ,  258 ,  516 ,  2.545 ,  12 ,  47 ,  1 ,  3 ,  2 ,  3.444 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTIAGO,  4.387 ,  55 ,  69 ,  446 ,  725 ,  1.625 ,  5 ,  41 ,  16 ,  2 ,  136 ,  1.266 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTO DOMINGO,  6.777 ,  172 ,  71 ,  77 ,  13 ,  2.919 ,  6 ,  8 ,  -   ,  -   ,  2 ,  3.508 ,  1 ,  -   ,,,,,,,,,,,,,,
SIGAY,  515 ,  2 ,  -   ,  1 ,  -   ,  -   ,  -   ,  509 ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   ,,,,,,,,,,,,,,
SINAIT,  6.138 ,  413 ,  80 ,  964 ,  1.009 ,  307 ,  197 ,  167 ,  -   ,  -   ,  -   ,  3.000 ,  1 ,  -   ,,,,,,,,,,,,,,
SUGPON,  972 ,  8 ,  1 ,  1 ,  1 ,  93 ,  -   ,  803 ,  61 ,  -   ,  -   ,  4 ,  -   ,  -   ,,,,,,,,,,,,,,
SUYO,  2.505 ,  190 ,  6 ,  9 ,  8 ,  240 ,  1 ,  1.840 ,  63 ,  1 ,  -   ,  147 ,  -   ,  -   ,,,,,,,,,,,,,,
TAGUDIN,  8.644 ,  301 ,  51 ,  514 ,  849 ,  4.208 ,  154 ,  134 ,  101 ,  6 ,  2 ,  2.324 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF VIGAN (Capital),  11.860 ,  1.716 ,  400 ,  1.402 ,  514 ,  1.885 ,  29 ,  5 ,  -   ,  2 ,  1.165 ,  4.736 ,  6 ,  -   ,,,,,,,,,,,,,,
LA UNION,  180.675 ,  10.103 ,  5.963 ,  21.510 ,  29.289 ,  6.776 ,  4.173 ,  17.913 ,  2.664 ,  91 ,  2.761 ,  79.278 ,  154 ,  -   ,,,,,,,,,,,,,,
AGOO,  13.850 ,  111 ,  791 ,  1.539 ,  2.505 ,  73 ,  491 ,  627 ,  4 ,  13 ,  780 ,  6.906 ,  10 ,  -   ,,,,,,,,,,,,,,
ARINGAY,  10.817 ,  308 ,  144 ,  1.492 ,  2.122 ,  10 ,  154 ,  1.153 ,  180 ,  1 ,  105 ,  5.143 ,  5 ,  -   ,,,,,,,,,,,,,,
BACNOTAN,  9.963 ,  407 ,  254 ,  1.783 ,  1.565 ,  218 ,  168 ,  444 ,  88 ,  -   ,  1 ,  5.032 ,  3 ,  -   ,,,,,,,,,,,,,,
BAGULIN,  2.978 ,  313 ,  10 ,  3 ,  15 ,  113 ,  2 ,  1.187 ,  1.258 ,  2 ,  -   ,  75 ,  -   ,  -   ,,,,,,,,,,,,,,
BALAOAN,  8.963 ,  863 ,  252 ,  2.156 ,  1.688 ,  42 ,  17 ,  528 ,  3 ,  7 ,  4 ,  3.377 ,  26 ,  -   ,,,,,,,,,,,,,,
BANGAR,  8.078 ,  149 ,  6 ,  657 ,  669 ,  4.433 ,  10 ,  33 ,  -   ,  3 ,  -   ,  2.116 ,  2 ,  -   ,,,,,,,,,,,,,,
BAUANG,  17.254 ,  1.401 ,  603 ,  1.474 ,  1.656 ,  234 ,  1.129 ,  652 ,  2 ,  1 ,  10 ,  10.086 ,  6 ,  -   ,,,,,,,,,,,,,,
BURGOS,  1.750 ,  7 ,  3 ,  1 ,  -   ,  3 ,  13 ,  1.318 ,  106 ,  14 ,  -   ,  284 ,  1 ,  -   ,,,,,,,,,,,,,,
CABA,  5.227 ,  41 ,  23 ,  1.006 ,  1.334 ,  17 ,  86 ,  688 ,  11 ,  -   ,  6 ,  2.014 ,  1 ,  -   ,,,,,,,,,,,,,,
LUNA,  8.490 ,  189 ,  504 ,  2.060 ,  1.954 ,  56 ,  173 ,  268 ,  1 ,  -   ,  1 ,  3.282 ,  2 ,  -   ,,,,,,,,,,,,,,
NAGUILIAN,  12.161 ,  1.473 ,  230 ,  1.702 ,  1.855 ,  404 ,  314 ,  2.057 ,  11 ,  1 ,  3 ,  4.108 ,  3 ,  -   ,,,,,,,,,,,,,,
PUGO,  4.811 ,  1.519 ,  520 ,  490 ,  648 ,  12 ,  -   ,  133 ,  39 ,  6 ,  1 ,  1.443 ,  -   ,  -   ,,,,,,,,,,,,,,
ROSARIO,  13.171 ,  1.079 ,  820 ,  987 ,  3.078 ,  214 ,  326 ,  1.548 ,  8 ,  17 ,  450 ,  4.641 ,  3 ,  -   ,,,,,,,,,,,,,,
CITY OF SAN FERNANDO (Capital),  28.505 ,  618 ,  136 ,  1.112 ,  1.886 ,  676 ,  691 ,  1.920 ,  97 ,  12 ,  854 ,  20.496 ,  7 ,  -   ,,,,,,,,,,,,,,
SAN GABRIEL,  3.907 ,  110 ,  190 ,  448 ,  469 ,  20 ,  174 ,  1.597 ,  518 ,  3 ,  1 ,  327 ,  50 ,  -   ,,,,,,,,,,,,,,
SAN JUAN,  8.714 ,  250 ,  182 ,  1.281 ,  1.763 ,  16 ,  111 ,  599 ,  65 ,  -   ,  -   ,  4.446 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTO TOMAS,  8.996 ,  420 ,  779 ,  731 ,  2.630 ,  185 ,  160 ,  215 ,  3 ,  1 ,  479 ,  3.387 ,  6 ,  -   ,,,,,,,,,,,,,,
SANTOL,  2.789 ,  319 ,  32 ,  334 ,  330 ,  1 ,  108 ,  1.227 ,  127 ,  6 ,  6 ,  299 ,  -   ,  -   ,,,,,,,,,,,,,,
SUDIPEN,  3.810 ,  321 ,  379 ,  679 ,  991 ,  46 ,  13 ,  554 ,  122 ,  2 ,  1 ,  701 ,  1 ,  -   ,,,,,,,,,,,,,,
TUBAO,  6.441 ,  205 ,  105 ,  1.575 ,  2.131 ,  3 ,  33 ,  1.165 ,  21 ,  2 ,  59 ,  1.115 ,  27 ,  -   ,,,,,,,,,,,,,,
PANGASINAN,  674.575 ,  96.537 ,  32.855 ,  116.543 ,  176.231 ,  12.769 ,  13.984 ,  7.396 ,  1.075 ,  177 ,  3.429 ,  212.441 ,  1.138 ,  -   ,,,,,,,,,,,,,,
AGNO,  6.624 ,  160 ,  102 ,  1.246 ,  1.171 ,  56 ,  2.701 ,  263 ,  52 ,  13 ,  2 ,  856 ,  2 ,  -   ,,,,,,,,,,,,,,
AGUILAR,  8.777 ,  301 ,  346 ,  1.646 ,  2.682 ,  683 ,  10 ,  114 ,  1 ,  5 ,  2 ,  2.984 ,  3 ,  -   ,,,,,,,,,,,,,,
CITY OF ALAMINOS,  21.576 ,  6.325 ,  2.314 ,  1.534 ,  2.518 ,  376 ,  209 ,  272 ,  6 ,  -   ,  13 ,  7.949 ,  60 ,  -   ,,,,,,,,,,,,,,
ALCALA,  10.174 ,  2.273 ,  356 ,  2.536 ,  3.866 ,  69 ,  -   ,  35 ,  -   ,  -   ,  5 ,  1.031 ,  3 ,  -   ,,,,,,,,,,,,,,
ANDA,  9.376 ,  1.064 ,  311 ,  403 ,  1.748 ,  698 ,  1.494 ,  6 ,  2 ,  3 ,  119 ,  3.527 ,  1 ,  -   ,,,,,,,,,,,,,,
ASINGAN,  13.623 ,  4.174 ,  1.189 ,  2.964 ,  2.316 ,  4 ,  6 ,  13 ,  -   ,  -   ,  169 ,  2.662 ,  126 ,  -   ,,,,,,,,,,,,,,
BALUNGAO,  7.606 ,  1.085 ,  305 ,  2.257 ,  2.450 ,  2 ,  15 ,  2 ,  -   ,  -   ,  -   ,  1.489 ,  1 ,  -   ,,,,,,,,,,,,,,
BANI,  12.337 ,  2.500 ,  1.395 ,  678 ,  1.460 ,  389 ,  2.676 ,  253 ,  1 ,  18 ,  78 ,  2.889 ,  -   ,  -   ,,,,,,,,,,,,,,
BASISTA,  6.904 ,  1.079 ,  833 ,  866 ,  905 ,  26 ,  3 ,  5 ,  1 ,  -   ,  2 ,  3.184 ,  -   ,  -   ,,,,,,,,,,,,,,
BAUTISTA,  6.892 ,  329 ,  72 ,  2.212 ,  3.383 ,  1 ,  -   ,  8 ,  -   ,  -   ,  186 ,  698 ,  3 ,  -   ,,,,,,,,,,,,,,
BAYAMBANG,  25.596 ,  2.633 ,  1.583 ,  3.880 ,  6.861 ,  757 ,  4 ,  98 ,  -   ,  1 ,  393 ,  9.383 ,  3 ,  -   ,,,,,,,,,,,,,,
BINALONAN,  12.849 ,  1.896 ,  338 ,  3.817 ,  3.670 ,  62 ,  2 ,  171 ,  1 ,  1 ,  43 ,  2.834 ,  14 ,  -   ,,,,,,,,,,,,,,
BINMALEY,  20.160 ,  5.410 ,  2.386 ,  947 ,  1.817 ,  8 ,  13 ,  17 ,  -   ,  -   ,  15 ,  9.545 ,  2 ,  -   ,,,,,,,,,,,,,,
BOLINAO,  17.681 ,  1.326 ,  1.222 ,  1.302 ,  5.036 ,  669 ,  2.447 ,  239 ,  11 ,  27 ,  174 ,  5.081 ,  147 ,  -   ,,,,,,,,,,,,,,
BUGALLON,  14.587 ,  1.928 ,  733 ,  3.299 ,  4.037 ,  70 ,  14 ,  123 ,  3 ,  1 ,  125 ,  4.246 ,  8 ,  -   ,,,,,,,,,,,,,,
BURGOS,  4.800 ,  153 ,  112 ,  1.239 ,  1.457 ,  7 ,  743 ,  4 ,  11 ,  -   ,  1 ,  1.072 ,  1 ,  -   ,,,,,,,,,,,,,,
CALASIAO,  22.542 ,  1.660 ,  625 ,  2.508 ,  8.452 ,  35 ,  133 ,  29 ,  1 ,  -   ,  15 ,  8.850 ,  234 ,  -   ,,,,,,,,,,,,,,
DAGUPAN CITY,  38.168 ,  10.137 ,  4.338 ,  1.572 ,  3.377 ,  207 ,  46 ,  31 ,  2 ,  1 ,  1.268 ,  17.148 ,  41 ,  -   ,,,,,,,,,,,,,,
DASOL,  6.785 ,  624 ,  140 ,  918 ,  2.359 ,  20 ,  528 ,  20 ,  1 ,  19 ,  6 ,  2.146 ,  4 ,  -   ,,,,,,,,,,,,,,
INFANTA,  5.621 ,  655 ,  1.139 ,  683 ,  1.084 ,  88 ,  100 ,  157 ,  223 ,  8 ,  1 ,  1.483 ,  -   ,  -   ,,,,,,,,,,,,,,
LABRADOR,  5.480 ,  69 ,  35 ,  833 ,  1.205 ,  -   ,  2 ,  83 ,  10 ,  -   ,  1 ,  3.241 ,  1 ,  -   ,,,,,,,,,,,,,,
LINGAYEN (Capital),  21.780 ,  952 ,  531 ,  1.912 ,  3.772 ,  192 ,  71 ,  48 ,  -   ,  -   ,  63 ,  14.238 ,  1 ,  -   ,,,,,,,,,,,,,,
MABINI,  5.917 ,  1.160 ,  623 ,  466 ,  1.467 ,  273 ,  442 ,  244 ,  87 ,  38 ,  40 ,  1.077 ,  -   ,  -   ,,,,,,,,,,,,,,
MALASIQUI,  29.047 ,  932 ,  214 ,  5.184 ,  9.651 ,  1.000 ,  8 ,  213 ,  -   ,  -   ,  2 ,  11.755 ,  88 ,  -   ,,,,,,,,,,,,,,
MANAOAG,  14.939 ,  2.958 ,  729 ,  2.710 ,  3.575 ,  403 ,  1 ,  26 ,  3 ,  -   ,  8 ,  4.489 ,  37 ,  -   ,,,,,,,,,,,,,,
MANGALDAN,  23.437 ,  5.726 ,  848 ,  2.105 ,  7.494 ,  84 ,  165 ,  61 ,  -   ,  2 ,  1 ,  6.924 ,  27 ,  -   ,,,,,,,,,,,,,,
MANGATAREM,  16.554 ,  975 ,  615 ,  5.469 ,  5.912 ,  32 ,  12 ,  27 ,  24 ,  4 ,  -   ,  3.475 ,  9 ,  -   ,,,,,,,,,,,,,,
MAPANDAN,  8.667 ,  2.315 ,  241 ,  934 ,  1.197 ,  112 ,  132 ,  6 ,  -   ,  -   ,  1 ,  3.727 ,  2 ,  -   ,,,,,,,,,,,,,,
NATIVIDAD,  5.794 ,  665 ,  302 ,  1.884 ,  1.483 ,  223 ,  1 ,  501 ,  5 ,  -   ,  77 ,  625 ,  28 ,  -   ,,,,,,,,,,,,,,
POZORRUBIO,  16.856 ,  3.063 ,  922 ,  4.041 ,  3.481 ,  166 ,  345 ,  103 ,  3 ,  2 ,  31 ,  4.667 ,  32 ,  -   ,,,,,,,,,,,,,,
ROSALES,  14.576 ,  4.776 ,  1.610 ,  1.518 ,  2.352 ,  378 ,  9 ,  77 ,  -   ,  -   ,  2 ,  3.845 ,  9 ,  -   ,,,,,,,,,,,,,,
SAN CARLOS CITY,  42.049 ,  2.178 ,  642 ,  6.586 ,  6.360 ,  1.253 ,  21 ,  47 ,  4 ,  2 ,  12 ,  24.811 ,  133 ,  -   ,,,,,,,,,,,,,,
SAN FABIAN,  19.886 ,  678 ,  390 ,  4.668 ,  9.869 ,  1.077 ,  676 ,  319 ,  33 ,  -   ,  19 ,  2.149 ,  8 ,  -   ,,,,,,,,,,,,,,
SAN JACINTO,  9.211 ,  1.211 ,  194 ,  1.444 ,  3.854 ,  14 ,  6 ,  4 ,  1 ,  -   ,  4 ,  2.477 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN MANUEL,  12.552 ,  2.590 ,  723 ,  3.240 ,  3.811 ,  123 ,  9 ,  977 ,  33 ,  2 ,  2 ,  1.040 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN NICOLAS,  8.277 ,  2.235 ,  231 ,  1.854 ,  2.708 ,  12 ,  39 ,  839 ,  96 ,  3 ,  48 ,  209 ,  3 ,  -   ,,,,,,,,,,,,,,
SAN QUINTIN,  8.584 ,  992 ,  92 ,  3.519 ,  2.682 ,  8 ,  7 ,  377 ,  30 ,  1 ,  41 ,  831 ,  4 ,  -   ,,,,,,,,,,,,,,
SANTA BARBARA,  18.636 ,  691 ,  142 ,  2.139 ,  6.638 ,  515 ,  1 ,  133 ,  194 ,  3 ,  -   ,  8.165 ,  15 ,  -   ,,,,,,,,,,,,,,
SANTA MARIA,  7.491 ,  2.270 ,  493 ,  2.109 ,  1.224 ,  4 ,  4 ,  2 ,  -   ,  -   ,  1 ,  1.383 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTO TOMAS,  3.374 ,  366 ,  194 ,  791 ,  1.281 ,  3 ,  -   ,  3 ,  -   ,  -   ,  43 ,  673 ,  20 ,  -   ,,,,,,,,,,,,,,
SISON,  10.659 ,  493 ,  1.328 ,  1.542 ,  2.383 ,  9 ,  711 ,  1.034 ,  213 ,  4 ,  17 ,  2.923 ,  2 ,  -   ,,,,,,,,,,,,,,
SUAL,  7.859 ,  284 ,  51 ,  1.638 ,  3.403 ,  154 ,  27 ,  183 ,  11 ,  13 ,  -   ,  2.092 ,  3 ,  -   ,,,,,,,,,,,,,,
TAYUG,  10.039 ,  1.528 ,  514 ,  1.730 ,  1.147 ,  2.366 ,  13 ,  57 ,  1 ,  1 ,  4 ,  2.674 ,  4 ,  -   ,,,,,,,,,,,,,,
UMINGAN,  17.261 ,  1.738 ,  347 ,  7.035 ,  6.652 ,  4 ,  10 ,  110 ,  3 ,  3 ,  66 ,  1.283 ,  10 ,  -   ,,,,,,,,,,,,,,
URBIZTONDO,  10.618 ,  264 ,  146 ,  1.676 ,  3.926 ,  5 ,  -   ,  3 ,  -   ,  -   ,  207 ,  4.391 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF URDANETA,  30.294 ,  5.584 ,  387 ,  7.319 ,  9.661 ,  32 ,  125 ,  46 ,  5 ,  2 ,  34 ,  7.079 ,  20 ,  -   ,,,,,,,,,,,,,,
VILLASIS,  14.631 ,  3.758 ,  443 ,  2.685 ,  5.655 ,  84 ,  -   ,  11 ,  3 ,  -   ,  87 ,  1.882 ,  23 ,  -   ,,,,,,,,,,,,,,
LAOAC,  7.429 ,  374 ,  29 ,  3.005 ,  2.739 ,  16 ,  3 ,  2 ,  -   ,  -   ,  1 ,  1.259 ,  1 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION II - CAGAYAN VALLEY,  804.524 ,  76.008 ,  29.071 ,  156.261 ,  216.163 ,  40.070 ,  53.208 ,  32.225 ,  17.907 ,  2.423 ,  2.319 ,  177.544 ,  1.325 ,  -   ,,,,,,,,,,,,,,
BATANES,  4.761 ,  2.735 ,  1.574 ,  3 ,  16 ,  1 ,  4 ,  67 ,  -   ,  133 ,  40 ,  183 ,  5 ,  -   ,,,,,,,,,,,,,,
BASCO (Capital),  2.327 ,  789 ,  1.358 ,  1 ,  13 ,  -   ,  -   ,  1 ,  -   ,  12 ,  40 ,  113 ,  -   ,  -   ,,,,,,,,,,,,,,
ITBAYAT,  831 ,  644 ,  21 ,  -   ,  -   ,  -   ,  4 ,  8 ,  -   ,  109 ,  -   ,  45 ,  -   ,  -   ,,,,,,,,,,,,,,
IVANA,  371 ,  189 ,  158 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  22 ,  -   ,  -   ,,,,,,,,,,,,,,
MAHATAO,  443 ,  433 ,  10 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
SABTANG,  431 ,  325 ,  24 ,  1 ,  2 ,  1 ,  -   ,  58 ,  -   ,  12 ,  -   ,  3 ,  5 ,  -   ,,,,,,,,,,,,,,
UYUGAN,  358 ,  355 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
CAGAYAN,  271.967 ,  37.326 ,  8.332 ,  59.081 ,  70.210 ,  9.688 ,  22.785 ,  4.043 ,  984 ,  1.212 ,  198 ,  58.108 ,  -   ,  -   ,,,,,,,,,,,,,,
ABULUG,  7.405 ,  345 ,  130 ,  1.609 ,  1.608 ,  156 ,  1.325 ,  13 ,  2 ,  -   ,  -   ,  2.217 ,  -   ,  -   ,,,,,,,,,,,,,,
ALCALA,  9.248 ,  551 ,  214 ,  1.884 ,  4.664 ,  33 ,  1.008 ,  11 ,  1 ,  5 ,  -   ,  877 ,  -   ,  -   ,,,,,,,,,,,,,,
ALLACAPAN,  7.767 ,  54 ,  35 ,  1.919 ,  2.359 ,  26 ,  1.566 ,  12 ,  2 ,  30 ,  -   ,  1.764 ,  -   ,  -   ,,,,,,,,,,,,,,
AMULUNG,  10.697 ,  678 ,  136 ,  2.554 ,  6.782 ,  7 ,  138 ,  5 ,  4 ,  -   ,  -   ,  393 ,  -   ,  -   ,,,,,,,,,,,,,,
APARRI,  13.978 ,  646 ,  510 ,  1.304 ,  2.613 ,  311 ,  1.533 ,  259 ,  2 ,  233 ,  -   ,  6.567 ,  -   ,  -   ,,,,,,,,,,,,,,
BAGGAO,  19.630 ,  291 ,  119 ,  8.259 ,  8.577 ,  584 ,  100 ,  273 ,  338 ,  102 ,  -   ,  987 ,  -   ,  -   ,,,,,,,,,,,,,,
BALLESTEROS,  8.350 ,  188 ,  47 ,  2.673 ,  2.447 ,  135 ,  1.138 ,  34 ,  1 ,  -   ,  -   ,  1.687 ,  -   ,  -   ,,,,,,,,,,,,,,
BUGUEY,  6.754 ,  36 ,  9 ,  254 ,  503 ,  2.970 ,  554 ,  37 ,  2 ,  274 ,  94 ,  2.021 ,  -   ,  -   ,,,,,,,,,,,,,,
CALAYAN,  3.904 ,  1.505 ,  445 ,  571 ,  534 ,  18 ,  212 ,  382 ,  153 ,  41 ,  -   ,  43 ,  -   ,  -   ,,,,,,,,,,,,,,
CAMALANIUGAN,  5.482 ,  29 ,  45 ,  515 ,  1.564 ,  124 ,  356 ,  8 ,  -   ,  41 ,  -   ,  2.800 ,  -   ,  -   ,,,,,,,,,,,,,,
CLAVERIA,  7.258 ,  444 ,  188 ,  1.768 ,  1.289 ,  310 ,  1.235 ,  307 ,  11 ,  1 ,  17 ,  1.688 ,  -   ,  -   ,,,,,,,,,,,,,,
ENRILE,  7.543 ,  3.538 ,  341 ,  1.083 ,  1.280 ,  25 ,  567 ,  339 ,  -   ,  -   ,  -   ,  370 ,  -   ,  -   ,,,,,,,,,,,,,,
GATTARAN,  12.874 ,  365 ,  205 ,  4.551 ,  5.000 ,  85 ,  512 ,  338 ,  6 ,  126 ,  -   ,  1.686 ,  -   ,  -   ,,,,,,,,,,,,,,
GONZAGA,  8.603 ,  1.414 ,  564 ,  1.461 ,  743 ,  178 ,  2.470 ,  220 ,  35 ,  3 ,  -   ,  1.515 ,  -   ,  -   ,,,,,,,,,,,,,,
IGUIG,  6.179 ,  632 ,  98 ,  773 ,  859 ,  1.393 ,  350 ,  2 ,  2 ,  1 ,  30 ,  2.039 ,  -   ,  -   ,,,,,,,,,,,,,,
LAL-LO,  10.271 ,  308 ,  117 ,  1.340 ,  2.849 ,  1.206 ,  891 ,  166 ,  23 ,  6 ,  -   ,  3.365 ,  -   ,  -   ,,,,,,,,,,,,,,
LASAM,  9.026 ,  319 ,  528 ,  2.591 ,  2.274 ,  56 ,  286 ,  64 ,  -   ,  54 ,  5 ,  2.849 ,  -   ,  -   ,,,,,,,,,,,,,,
PAMPLONA,  5.248 ,  36 ,  11 ,  879 ,  945 ,  214 ,  1.159 ,  32 ,  4 ,  6 ,  -   ,  1.962 ,  -   ,  -   ,,,,,,,,,,,,,,
PEÑABLANCA,  10.739 ,  2.596 ,  1.016 ,  2.532 ,  3.309 ,  6 ,  259 ,  415 ,  55 ,  45 ,  17 ,  489 ,  -   ,  -   ,,,,,,,,,,,,,,
PIAT,  5.525 ,  2.965 ,  439 ,  1.048 ,  628 ,  29 ,  59 ,  3 ,  5 ,  -   ,  -   ,  349 ,  -   ,  -   ,,,,,,,,,,,,,,
RIZAL,  4.043 ,  104 ,  373 ,  1.414 ,  1.687 ,  2 ,  233 ,  154 ,  9 ,  3 ,  -   ,  64 ,  -   ,  -   ,,,,,,,,,,,,,,
SANCHEZ-MIRA,  5.625 ,  298 ,  45 ,  2.753 ,  1.093 ,  22 ,  145 ,  126 ,  1 ,  -   ,  -   ,  1.142 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA ANA,  7.821 ,  343 ,  150 ,  2.280 ,  2.139 ,  604 ,  1.329 ,  49 ,  44 ,  55 ,  25 ,  803 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA PRAXEDES,  980 ,  444 ,  2 ,  10 ,  79 ,  14 ,  12 ,  295 ,  38 ,  7 ,  -   ,  79 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA TERESITA,  4.283 ,  67 ,  61 ,  964 ,  1.432 ,  56 ,  315 ,  137 ,  25 ,  107 ,  1 ,  1.118 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTO NIÑO (FAIRE),  6.641 ,  227 ,  77 ,  598 ,  1.693 ,  144 ,  3.236 ,  118 ,  207 ,  57 ,  5 ,  279 ,  -   ,  -   ,,,,,,,,,,,,,,
SOLANA,  19.012 ,  3.937 ,  920 ,  3.689 ,  6.884 ,  463 ,  1.011 ,  179 ,  12 ,  13 ,  4 ,  1.900 ,  -   ,  -   ,,,,,,,,,,,,,,
TUAO,  13.557 ,  1.740 ,  289 ,  7.021 ,  3.669 ,  453 ,  124 ,  24 ,  1 ,  1 ,  -   ,  235 ,  -   ,  -   ,,,,,,,,,,,,,,
TUGUEGARAO CITY (Capital),  33.524 ,  13.226 ,  1.218 ,  784 ,  707 ,  64 ,  662 ,  41 ,  1 ,  1 ,  -   ,  16.820 ,  -   ,  -   ,,,,,,,,,,,,,,
ISABELA,  372.950 ,  27.709 ,  13.080 ,  82.809 ,  119.869 ,  8.937 ,  28.915 ,  6.523 ,  1.490 ,  624 ,  1.843 ,  80.240 ,  911 ,  -   ,,,,,,,,,,,,,,
ALICIA,  17.864 ,  836 ,  183 ,  2.695 ,  2.479 ,  4.266 ,  19 ,  29 ,  3 ,  3 ,  7 ,  7.304 ,  40 ,  -   ,,,,,,,,,,,,,,
